날짜,KB금융,하나금융지주,우리금융지주,신한지주,기업은행,BNK금융지주,DGB금융지주,JB금융지주,카카오뱅크
2020-09-29,21.23,19.99,18.25,18.24,9.42,5.77,3.44,3.19,
2020-10-05,21.51,20.31,17.92,18.38,9.29,5.64,3.37,3.16,
2020-10-06,21.53,20.35,17.65,18.29,9.31,5.73,3.44,3.27,
2020-10-07,21.75,20.34,17.78,18.16,9.25,5.66,3.41,3.22,
2020-10-08,21.66,20.49,17.71,18.01,9.21,5.71,3.54,3.24,
2020-10-12,21.93,20.68,17.63,17.89,9.11,5.64,3.5,3.2,
2020-10-13,21.8,20.47,17.72,17.97,9.2,5.65,3.55,3.23,
2020-10-14,21.44,20.26,17.82,18.08,9.31,5.77,3.63,3.25,
2020-10-15,21.53,20.32,17.56,18.08,9.26,5.89,3.7,3.23,
2020-10-16,21.71,20.18,17.43,18.0,9.26,5.95,3.79,3.26,
2020-10-19,21.83,20.21,17.35,18.18,9.17,5.91,3.71,3.22,
2020-10-20,21.47,20.11,17.31,19.31,8.96,5.79,3.64,3.17,
2020-10-21,21.46,20.41,17.27,19.11,8.88,5.84,3.64,3.16,
2020-10-22,21.2,20.43,17.23,19.32,8.86,5.87,3.72,3.16,
2020-10-23,20.82,20.38,17.42,19.52,8.9,5.86,3.75,3.14,
2020-10-26,21.08,20.38,17.4,19.45,8.78,5.81,3.78,3.12,
2020-10-27,21.38,20.0,17.34,19.55,8.85,5.77,3.72,3.19,
2020-10-28,21.12,19.8,17.44,19.99,8.77,5.82,3.69,3.17,
2020-10-29,20.86,19.67,17.57,20.22,8.77,5.8,3.64,3.25,
2020-10-30,20.86,19.85,17.72,19.95,8.81,5.77,3.54,3.3,
2020-11-02,20.86,20.11,17.58,19.93,8.69,5.7,3.65,3.29,
2020-11-03,20.89,20.21,17.49,19.81,8.63,5.75,3.75,3.28,
2020-11-04,20.77,19.96,17.82,19.68,8.75,5.78,3.71,3.33,
2020-11-05,21.06,19.85,17.84,19.55,8.7,5.78,3.7,3.34,
2020-11-06,20.88,20.0,17.86,19.55,8.69,5.77,3.73,3.32,
2020-11-09,20.86,20.12,17.89,19.49,8.69,5.77,3.72,3.27,
2020-11-10,20.93,20.51,17.7,19.5,8.6,5.68,3.66,3.25,
2020-11-11,21.37,20.44,17.51,19.23,8.67,5.62,3.69,3.31,
2020-11-12,21.32,20.35,17.54,19.12,8.64,5.63,3.82,3.4,
2020-11-13,21.07,20.39,17.56,19.11,8.76,5.64,3.82,3.47,
2020-11-16,20.89,20.95,17.33,19.18,8.67,5.54,3.85,3.44,
2020-11-17,21.13,20.94,17.24,19.13,8.56,5.52,3.92,3.39,
2020-11-18,21.31,20.62,17.44,19.26,8.6,5.48,3.81,3.32,
2020-11-19,21.34,20.57,17.42,19.29,8.64,5.52,3.75,3.31,
2020-11-20,20.97,20.42,17.56,19.45,8.88,5.58,3.69,3.28,
2020-11-23,21.08,20.39,17.48,19.47,8.94,5.49,3.71,3.3,
2020-11-24,21.07,20.26,17.58,19.45,9.0,5.44,3.73,3.31,
2020-11-25,21.55,20.22,17.36,19.54,8.95,5.38,3.64,3.22,
2020-11-26,21.62,20.22,17.62,19.37,8.9,5.25,3.68,3.2,
2020-11-27,21.62,20.15,17.63,19.4,8.99,5.15,3.73,3.18,
2020-11-30,21.39,20.05,17.78,19.2,9.09,5.34,3.8,3.21,
2020-12-01,21.16,20.14,17.85,19.32,9.08,5.31,3.77,3.23,
2020-12-02,21.18,20.14,17.69,19.56,8.96,5.43,3.72,3.17,
2020-12-03,21.32,20.35,17.5,19.46,8.98,5.38,3.72,3.16,
2020-12-04,21.21,20.62,17.31,19.65,8.93,5.33,3.69,3.12,
2020-12-07,21.47,20.22,17.53,19.58,8.92,5.31,3.71,3.13,
2020-12-08,21.21,20.16,17.63,19.74,8.95,5.3,3.7,3.17,
2020-12-09,21.16,20.2,17.57,19.73,8.95,5.37,3.67,3.22,
2020-12-10,21.15,20.31,17.56,19.73,8.9,5.34,3.65,3.23,
2020-12-11,21.93,21.16,18.04,18.69,7.83,5.11,3.64,3.4,
2020-12-14,22.08,21.29,17.85,18.61,7.82,5.11,3.58,3.46,
2020-12-15,21.88,21.53,17.78,18.42,7.81,5.23,3.58,3.58,
2020-12-16,21.7,21.42,17.82,18.45,7.87,5.27,3.58,3.68,
2020-12-17,21.52,21.55,18.07,18.37,7.93,5.25,3.59,3.51,
2020-12-18,21.52,21.55,17.92,18.55,7.92,5.27,3.59,3.5,
2020-12-21,21.52,21.6,17.93,18.55,7.92,5.22,3.56,3.51,
2020-12-22,21.43,21.5,18.04,18.52,7.93,5.25,3.6,3.55,
2020-12-23,21.33,21.27,18.24,18.5,8.01,5.3,3.58,3.58,
2020-12-24,21.6,21.39,18.15,18.39,7.94,5.31,3.55,3.48,
2020-12-28,21.61,21.36,18.09,18.44,7.94,5.39,3.5,3.48,
2020-12-29,20.59,20.34,17.29,17.64,7.44,5.06,3.33,3.33,
2020-12-30,20.53,20.52,17.32,17.61,7.39,5.05,3.29,3.33,
2021-01-04,20.53,20.34,17.3,17.73,7.37,5.06,3.3,3.31,
2021-01-05,20.73,20.38,17.21,17.75,7.33,4.99,3.31,3.32,
2021-01-06,20.8,20.65,17.04,17.79,7.27,4.95,3.29,3.26,
2021-01-07,20.91,21.03,16.83,17.83,7.13,4.94,3.35,3.22,
2021-01-08,20.97,21.38,16.81,17.63,7.04,4.9,3.34,3.21,
2021-01-11,20.97,21.66,16.71,17.47,7.0,4.91,3.29,3.22,
2021-01-12,20.83,22.19,16.49,17.34,6.91,5.04,3.3,3.2,
2021-01-13,20.79,22.21,16.62,17.46,6.9,4.98,3.31,3.15,
2021-01-14,20.63,21.87,16.84,17.53,6.92,4.99,3.35,3.25,
2021-01-15,20.47,21.72,16.9,17.55,6.94,5.01,3.4,3.29,
2021-01-18,20.69,21.94,16.78,17.32,6.92,4.96,3.34,3.28,
2021-01-19,20.53,21.84,16.91,17.44,6.93,5.0,3.32,3.3,
2021-01-20,20.71,21.49,16.81,17.64,6.94,4.99,3.33,3.3,
2021-01-21,20.6,21.5,16.69,17.83,6.97,4.96,3.36,3.3,
2021-01-22,20.6,21.37,16.75,17.85,7.01,4.93,3.33,3.29,
2021-01-25,20.63,21.33,16.76,17.91,6.96,4.95,3.32,3.27,
2021-01-26,20.52,21.18,16.72,17.94,6.98,5.01,3.35,3.32,
2021-01-27,20.32,21.21,16.82,18.01,6.98,5.05,3.32,3.31,
2021-01-28,20.13,21.25,16.77,18.33,6.99,5.11,3.33,3.3,
2021-01-29,20.46,20.84,16.81,18.08,7.02,5.26,3.31,3.28,
2021-02-01,20.56,21.58,16.51,17.84,7.04,5.22,3.27,3.22,
2021-02-02,20.39,21.34,16.53,18.08,7.05,5.26,3.28,3.32,
2021-02-03,20.39,21.27,16.64,18.01,7.08,5.26,3.27,3.34,
2021-02-04,20.68,20.99,16.67,17.91,7.05,5.21,3.32,3.39,
2021-02-05,21.03,21.55,16.64,17.52,6.89,5.14,3.33,3.38,
2021-02-08,20.95,21.78,16.46,17.78,6.98,5.08,3.32,3.35,
2021-02-09,20.99,21.41,16.61,17.77,6.98,5.09,3.4,3.38,
2021-02-10,21.09,21.41,16.7,17.74,6.94,5.09,3.35,3.35,
2021-02-15,20.99,21.5,16.82,17.66,6.93,5.07,3.33,3.39,
2021-02-16,20.88,21.59,16.77,17.69,6.91,5.11,3.36,3.38,
2021-02-17,20.66,22.0,16.62,17.63,6.93,5.12,3.39,3.37,
2021-02-18,20.6,21.57,16.76,17.66,7.0,5.18,3.41,3.44,
2021-02-19,20.35,21.74,16.86,17.73,6.99,5.17,3.41,3.41,
2021-02-22,20.29,21.52,16.99,17.78,7.0,5.19,3.45,3.41,
2021-02-23,20.44,21.52,16.89,17.82,6.99,5.16,3.44,3.4,
2021-02-24,20.12,21.67,16.95,17.96,6.94,5.23,3.41,3.39,
2021-02-25,20.42,21.72,16.86,18.08,6.87,5.13,3.34,3.35,
2021-02-26,20.44,21.74,16.82,17.86,6.87,5.18,3.38,3.39,
2021-03-02,20.49,21.94,16.85,17.78,6.83,5.14,3.35,3.35,
2021-03-03,20.57,22.03,16.62,17.68,6.82,5.37,3.37,3.35,
2021-03-04,20.61,21.9,16.42,17.8,6.82,5.41,3.49,3.4,
2021-03-05,21.12,21.78,16.24,17.75,6.87,5.29,3.46,3.37,
2021-03-08,21.61,21.73,16.13,17.71,6.76,5.36,3.49,3.32,
2021-03-09,22.22,21.69,16.05,17.62,6.71,5.23,3.42,3.26,
2021-03-10,22.0,21.82,16.12,17.63,6.77,5.17,3.37,3.28,
2021-03-11,22.11,21.89,16.07,17.48,6.77,5.14,3.42,3.3,
2021-03-12,21.52,22.33,16.3,17.34,6.76,5.15,3.44,3.32,
2021-03-15,21.69,22.1,16.09,17.3,6.75,5.28,3.61,3.38,
2021-03-16,21.62,22.33,16.05,17.27,6.79,5.23,3.56,3.36,
2021-03-17,21.52,22.09,15.97,17.51,6.83,5.29,3.6,3.39,
2021-03-18,21.32,22.14,16.02,17.48,6.84,5.37,3.65,3.38,
2021-03-19,20.88,22.5,16.06,17.32,6.78,5.44,3.86,3.38,
2021-03-22,21.57,22.05,15.95,17.36,6.76,5.38,3.8,3.37,
2021-03-23,21.74,21.83,15.99,17.64,6.73,5.3,3.65,3.32,
2021-03-24,21.8,22.01,15.99,17.43,6.72,5.26,3.59,3.36,
2021-03-25,22.24,21.67,15.88,17.61,6.75,5.24,3.51,3.31,
2021-03-26,22.32,21.5,15.78,17.82,6.69,5.32,3.53,3.29,
2021-03-29,22.32,21.58,15.79,17.82,6.67,5.3,3.55,3.27,
2021-03-30,22.66,21.46,15.68,17.79,6.67,5.24,3.54,3.28,
2021-03-31,22.82,21.85,15.43,17.67,6.57,5.19,3.51,3.32,
2021-04-01,22.74,21.5,15.63,17.68,6.64,5.2,3.54,3.37,
2021-04-02,22.55,21.64,15.74,17.67,6.68,5.17,3.49,3.32,
2021-04-05,22.6,21.72,15.65,17.79,6.64,5.16,3.47,3.28,
2021-04-06,22.11,21.56,15.85,18.01,6.68,5.2,3.51,3.35,
2021-04-07,21.86,21.69,16.34,17.86,6.61,5.21,3.45,3.35,
2021-04-08,21.73,21.55,16.41,17.88,6.66,5.23,3.47,3.39,
2021-04-09,21.85,21.54,16.09,17.93,6.72,5.27,3.47,3.43,
2021-04-12,21.99,21.53,16.11,17.89,6.68,5.26,3.47,3.41,
2021-04-13,22.12,21.44,16.1,17.89,6.72,5.25,3.44,3.37,
2021-04-14,22.06,21.45,16.22,17.87,6.71,5.24,3.42,3.35,
2021-04-15,22.2,21.53,16.08,17.89,6.71,5.22,3.4,3.32,
2021-04-16,22.02,21.54,16.11,17.91,6.76,5.2,3.39,3.35,
2021-04-19,21.89,21.55,16.14,17.89,6.77,5.26,3.41,3.39,
2021-04-20,21.83,21.87,16.09,17.92,6.7,5.22,3.38,3.35,
2021-04-21,21.86,21.79,15.93,17.81,6.74,5.34,3.44,3.4,
2021-04-22,21.96,21.68,16.22,17.74,6.7,5.29,3.4,3.38,
2021-04-23,22.05,21.9,16.04,17.67,6.67,5.29,3.41,3.38,
2021-04-26,22.1,21.73,16.03,17.86,6.67,5.26,3.41,3.39,
2021-04-27,21.82,21.89,15.89,17.97,6.63,5.35,3.45,3.49,
2021-04-28,21.59,21.91,15.95,18.04,6.65,5.41,3.46,3.52,
