날짜,콜마비앤에이치,코스맥스,한국콜마,아모레퍼시픽,LG생활건강,아모레G,현대바이오랜드,한국콜마홀딩스,네오팜,코리아나,잇츠한불,연우,클리오,코스메카코리아,코스맥스비티아이,에이블씨엔씨,에스디생명공학,토니모리,씨티케이,제로투세븐,펌텍코리아
2020-09-29,11.43,11.32,10.55,9.93,9.89,9.17,6.53,6.41,3.28,3.25,2.79,2.36,2.05,1.85,1.79,1.6,1.55,1.41,1.33,,
2020-10-05,11.45,11.42,10.56,10.06,10.07,9.09,6.52,6.39,3.21,3.18,2.78,2.33,2.01,1.88,1.75,1.59,1.52,1.4,1.33,,
2020-10-06,11.61,11.14,10.57,10.03,10.17,9.13,6.52,6.45,3.24,3.05,2.68,2.34,2.0,1.9,1.75,1.61,1.57,1.4,1.31,,
2020-10-07,11.99,11.13,10.48,10.01,10.12,8.98,6.71,6.47,3.24,3.01,2.65,2.3,1.97,1.87,1.74,1.58,1.56,1.38,1.31,,
2020-10-08,11.99,11.04,10.39,10.0,10.26,8.98,6.69,6.45,3.24,3.02,2.71,2.3,1.96,1.91,1.77,1.57,1.51,1.39,1.32,,
2020-10-12,9.78,10.32,10.04,9.74,8.76,9.88,7.05,7.35,3.51,3.41,3.18,2.5,2.18,2.11,1.92,1.74,1.66,1.52,1.43,,
2020-10-13,9.97,10.13,10.05,9.59,8.66,9.87,7.3,7.29,3.5,3.43,3.14,2.47,2.22,2.11,1.91,1.74,1.65,1.5,1.45,,
2020-10-14,9.76,10.18,10.0,9.62,8.84,9.88,7.45,7.18,3.51,3.43,3.07,2.47,2.19,2.11,1.9,1.77,1.64,1.51,1.48,,
2020-10-15,9.45,10.16,10.02,9.62,9.11,9.96,7.29,7.3,3.49,3.45,3.07,2.46,2.19,2.12,1.88,1.75,1.65,1.51,1.47,,
2020-10-16,9.34,10.47,9.93,9.89,9.09,10.0,7.27,7.13,3.44,3.4,3.14,2.44,2.23,2.06,1.85,1.72,1.63,1.51,1.44,,
2020-10-19,9.19,10.48,10.08,9.97,9.01,10.05,7.14,7.01,3.45,3.47,3.16,2.49,2.19,2.04,1.88,1.75,1.61,1.51,1.47,,
2020-10-20,9.41,10.53,10.08,9.93,8.96,9.91,7.28,6.98,3.45,3.44,3.13,2.5,2.19,2.03,1.86,1.74,1.57,1.51,1.48,,
