날짜,호텔신라,파라다이스,아시아나항공,롯데관광개발,강원랜드,아난티,GKL,한진칼,하나투어,모두투어,제주항공,진에어,용평리조트,SK렌터카,인터파크,레드캡투어,티웨이항공,노랑풍선
2020-09-29,10.96,10.87,10.3,10.06,9.44,9.19,7.88,7.8,7.79,3.75,3.49,2.17,2.14,1.98,1.32,0.53,,
2020-10-05,10.92,10.81,10.64,10.01,9.45,8.91,7.83,7.81,7.82,3.81,3.51,2.19,2.13,1.98,1.33,0.54,,
2020-10-06,10.73,10.67,11.28,9.9,9.39,8.77,7.68,7.84,7.85,3.84,3.56,2.18,2.12,2.0,1.34,0.54,,
2020-10-07,10.76,10.6,11.21,10.26,9.41,8.71,7.63,7.74,7.83,3.84,3.51,2.14,2.11,2.01,1.38,0.54,,
2020-10-08,10.69,10.5,11.1,10.17,9.45,8.68,7.59,8.15,7.91,3.88,3.5,2.08,2.07,2.03,1.36,0.53,,
2020-10-12,9.91,9.83,9.77,9.34,10.38,9.81,7.15,10.57,7.44,3.72,3.32,2.04,1.96,1.84,1.75,0.53,,
2020-10-13,9.92,9.93,9.65,9.26,10.35,9.81,7.08,10.72,7.44,3.66,3.33,2.03,2.01,1.86,1.77,0.55,,
2020-10-14,9.79,9.7,9.68,9.14,10.24,9.76,7.06,10.73,7.32,3.58,3.42,2.73,2.07,1.85,1.76,0.58,,
2020-10-15,9.76,9.61,9.83,9.08,10.09,9.89,7.04,10.85,7.36,3.51,3.37,2.74,2.12,1.85,1.76,0.55,,
2020-10-16,9.82,9.66,9.58,9.15,10.12,9.78,6.99,11.04,7.42,3.58,3.31,2.74,2.09,1.81,1.75,0.53,,
2020-10-19,9.91,9.8,9.51,8.95,10.12,9.55,7.11,11.15,7.36,3.76,3.32,2.74,2.0,1.82,1.74,0.55,,
2020-10-20,9.85,9.78,9.49,9.13,10.18,9.44,7.18,11.18,7.26,3.86,3.27,2.69,1.99,1.81,1.73,0.55,,
2020-10-21,9.8,9.72,9.51,9.05,10.34,9.47,7.26,11.11,7.28,3.85,3.28,2.68,1.96,1.8,1.72,0.58,,
2020-10-22,9.88,9.57,9.41,9.09,10.38,9.48,7.16,11.24,7.31,3.86,3.28,2.69,1.95,1.8,1.72,0.57,,
2020-10-23,9.86,9.58,8.6,9.3,10.41,9.42,7.34,11.48,7.4,3.92,3.33,2.69,1.95,1.82,1.72,0.58,,
2020-10-26,10.02,9.5,8.8,9.02,10.41,9.38,7.3,11.54,7.42,3.91,3.31,2.69,1.94,1.83,1.76,0.56,,
2020-10-27,9.94,9.74,8.73,9.07,10.47,9.3,7.28,11.55,7.4,3.85,3.29,2.66,1.94,1.81,1.78,0.57,,
2020-10-28,9.94,9.76,8.56,9.15,10.42,9.37,7.24,11.5,7.4,3.92,3.31,2.67,1.95,1.82,1.81,0.58,,
2020-10-29,10.05,9.79,8.48,9.16,10.25,9.63,7.25,11.42,7.23,3.96,3.29,2.67,1.99,1.83,1.8,0.58,,
2020-10-30,10.11,9.71,8.58,9.02,10.11,9.65,7.3,11.31,7.35,3.97,3.31,2.68,1.99,1.84,1.86,0.59,,
2020-11-02,10.06,9.65,8.56,8.96,10.02,9.49,7.23,11.8,7.34,4.0,3.3,2.71,2.02,1.82,1.85,0.6,,
2020-11-03,10.08,9.58,8.44,9.1,10.12,9.59,7.24,11.78,7.27,3.93,3.25,2.74,1.99,1.87,1.83,0.59,,
2020-11-04,9.98,9.56,7.31,9.2,10.1,10.33,7.28,12.04,7.22,4.04,3.24,2.73,2.06,1.86,1.83,0.61,,
2020-11-05,9.97,9.68,7.47,9.26,10.1,9.46,7.32,12.41,7.34,4.07,3.27,2.73,2.0,1.86,1.84,0.62,,
2020-11-06,10.02,9.6,7.6,9.12,10.05,9.41,7.29,12.43,7.39,4.05,3.26,2.75,2.01,1.86,1.94,0.62,,
2020-11-09,9.88,9.56,7.99,8.97,9.88,9.32,7.26,12.84,7.35,4.0,3.3,2.76,1.97,1.82,1.87,0.64,,
2020-11-10,10.02,9.79,7.72,8.8,9.81,8.94,7.48,12.51,7.68,4.09,3.52,2.95,1.91,1.78,1.8,0.63,,
2020-11-11,9.74,9.67,8.2,8.59,9.94,8.79,7.75,11.82,7.81,4.31,3.66,3.1,1.92,1.74,1.76,0.66,,
2020-11-12,9.89,9.78,8.52,8.71,9.83,8.88,7.81,11.45,7.66,4.18,3.7,2.9,1.95,1.74,1.79,0.65,,
2020-11-13,9.88,9.59,9.29,8.88,9.69,8.9,7.88,10.63,7.66,4.27,3.71,2.92,1.96,1.74,1.78,0.65,,
2020-11-16,9.52,9.4,11.58,8.54,9.32,8.49,7.4,10.78,7.38,4.15,3.84,3.17,1.88,1.69,1.7,0.63,,
2020-11-17,9.49,9.67,12.06,8.6,9.49,8.45,7.62,9.83,7.48,4.12,3.76,3.05,1.86,1.69,1.69,0.62,,
2020-11-18,9.59,9.72,11.03,8.79,9.64,8.57,7.68,9.94,7.59,4.2,3.7,3.04,1.9,1.73,1.71,0.62,,
2020-11-19,9.57,10.21,10.5,8.76,9.67,8.67,7.83,9.94,7.51,4.11,3.68,3.02,1.9,1.75,1.72,0.61,,
2020-11-20,9.66,10.09,10.46,8.68,9.71,8.62,8.16,9.79,7.56,4.17,3.66,2.96,1.88,1.72,1.71,0.61,,
2020-11-23,9.58,9.87,10.35,8.87,9.47,8.56,8.17,9.99,7.73,4.31,3.62,3.01,1.85,1.73,1.74,0.61,,
2020-11-24,9.65,9.82,10.55,8.93,9.45,8.51,8.02,9.77,7.93,4.32,3.62,3.0,1.89,1.72,1.7,0.6,,
2020-11-25,9.49,10.01,10.29,8.94,9.65,8.35,8.02,9.49,8.32,4.47,3.61,2.95,1.88,1.76,1.68,0.58,,
2020-11-26,9.45,9.91,10.26,9.09,9.45,8.42,7.87,9.6,8.43,4.49,3.67,2.98,1.85,1.74,1.68,0.59,,
2020-11-27,9.33,9.79,10.5,8.95,9.41,8.4,7.87,9.57,8.53,4.67,3.67,2.96,1.85,1.71,1.68,0.59,,
2020-11-30,9.31,9.67,10.56,8.96,9.2,8.42,7.9,9.7,8.62,4.78,3.55,2.97,1.83,1.74,1.68,0.59,,
2020-12-01,9.15,9.95,11.38,8.83,9.2,8.11,8.05,9.14,8.65,4.78,3.58,2.97,1.78,1.7,1.65,0.59,,
2020-12-02,9.11,10.16,10.63,8.79,9.33,7.95,8.34,8.4,9.27,5.23,3.65,2.99,1.77,1.66,1.67,0.58,,
2020-12-03,9.15,9.98,10.61,8.87,9.26,7.86,8.29,8.38,9.18,5.16,3.84,3.19,1.76,1.65,1.74,0.57,,
2020-12-04,9.17,9.92,10.52,9.0,9.3,7.9,8.42,8.51,8.95,4.9,3.97,3.27,1.77,1.66,1.7,0.55,,
2020-12-07,9.25,9.98,10.18,9.23,9.42,7.86,8.33,8.46,9.1,4.93,3.88,3.2,1.77,1.66,1.69,0.54,,
2020-12-08,9.13,10.14,10.15,9.11,9.19,7.76,8.52,8.32,9.14,5.26,3.85,3.31,1.75,1.64,1.68,0.54,,
2020-12-09,9.4,10.01,9.97,8.84,9.27,7.85,8.49,8.25,9.03,5.1,4.01,3.51,1.92,1.65,1.67,0.54,,
2020-12-10,9.34,10.21,9.8,8.8,9.22,7.86,8.62,8.1,9.15,5.03,4.07,3.61,1.88,1.65,1.64,0.53,,
2020-12-11,9.36,10.25,9.74,8.71,9.28,7.85,8.9,8.05,9.03,5.0,4.01,3.67,1.83,1.65,1.66,0.53,,
2020-12-14,9.47,10.35,9.05,8.56,9.62,8.01,8.98,8.06,8.96,4.97,3.96,3.71,1.83,1.71,1.7,0.54,,
2020-12-15,9.49,10.35,9.24,8.85,9.64,8.02,8.7,7.73,9.0,5.1,4.01,3.56,1.83,1.7,1.72,0.55,,
2020-12-16,9.55,10.32,9.24,8.85,9.55,8.08,8.68,7.84,9.06,5.03,3.96,3.49,1.86,1.71,1.72,0.55,,
2020-12-17,9.61,10.2,9.29,9.03,9.56,8.25,8.56,7.96,8.83,4.93,3.9,3.54,1.85,1.72,1.71,0.55,,
2020-12-18,9.6,10.21,9.16,8.83,9.56,8.18,8.76,7.91,8.83,4.98,4.02,3.67,1.84,1.72,1.7,0.55,,
2020-12-21,9.59,10.22,9.15,8.51,9.7,8.26,8.88,7.97,8.81,4.88,3.97,3.71,1.86,1.73,1.69,0.55,,
2020-12-22,9.73,10.12,9.11,8.32,9.76,8.25,8.76,8.07,8.86,4.88,3.98,3.87,1.81,1.74,1.66,0.55,,
2020-12-23,9.8,10.07,9.12,8.34,9.84,8.18,8.76,8.23,8.71,4.8,3.98,3.85,1.81,1.78,1.66,0.55,,
2020-12-24,9.76,10.25,,8.21,9.81,7.99,8.78,8.11,8.92,5.01,4.06,3.85,1.82,1.74,1.67,0.55,,
2020-12-28,9.77,10.29,,8.01,9.93,8.13,8.68,8.13,8.89,4.95,4.01,3.83,1.81,1.78,1.67,0.56,,
2020-12-29,9.65,10.24,,8.09,9.81,8.01,8.68,8.03,9.31,5.17,4.02,3.77,1.82,1.74,1.63,0.55,,
2020-12-30,9.69,10.11,,8.12,9.74,8.09,8.78,8.26,9.19,5.11,4.05,3.73,1.85,1.73,1.62,0.55,,
2021-01-04,9.69,10.0,,8.17,9.64,8.25,8.62,8.12,9.4,5.13,4.01,3.8,1.85,1.78,1.63,0.55,,
2021-01-05,9.58,9.94,,8.12,9.62,8.22,8.56,8.34,9.39,5.22,4.0,3.95,1.86,1.77,1.62,0.54,,
2021-01-06,9.46,10.1,,8.11,9.58,8.39,8.43,8.2,9.34,5.17,3.96,4.16,1.85,1.77,1.69,0.54,,
2021-01-07,9.58,9.97,,8.01,9.53,8.33,8.37,8.18,9.26,5.17,3.98,4.52,1.84,1.8,1.71,0.54,,
2021-01-08,9.52,10.05,,7.97,9.7,8.42,8.34,8.35,9.15,5.15,3.95,4.38,1.83,1.8,1.7,0.54,,
2021-01-11,9.47,9.91,,7.93,9.66,8.1,8.2,8.71,9.2,5.28,4.05,4.35,1.79,1.9,1.71,0.53,,
2021-01-12,9.63,9.99,,7.84,9.93,7.84,8.2,8.58,9.36,5.45,3.98,4.23,1.79,1.92,1.69,0.54,,
2021-01-13,9.47,10.21,,7.7,9.81,7.77,8.15,8.41,9.34,5.44,4.03,4.34,1.82,1.9,2.16,0.55,,
2021-01-14,9.23,10.13,,7.77,9.81,7.58,8.08,8.16,9.7,5.55,4.38,4.52,1.79,1.85,2.22,0.56,,
2021-01-15,9.17,9.43,,6.98,9.29,6.47,6.89,9.08,8.45,5.0,3.71,3.86,1.5,1.56,2.24,0.51,,
2021-01-18,9.08,9.4,8.81,7.64,9.32,7.46,7.74,7.79,9.12,5.3,4.05,4.39,1.75,1.78,2.28,0.5,,
2021-01-19,9.94,9.74,8.81,7.52,9.9,7.17,7.5,9.64,8.75,5.25,4.0,4.44,1.66,1.72,2.53,0.55,,
2021-01-20,9.89,9.8,8.59,7.54,9.83,7.29,7.47,9.72,8.81,5.29,3.97,4.45,1.67,1.72,2.57,0.57,,
2021-01-21,10.05,9.77,8.62,7.42,9.79,7.28,7.45,9.57,8.86,5.29,3.92,4.4,1.68,1.89,2.58,0.58,,
2021-01-22,10.12,10.03,8.56,7.54,9.92,7.08,7.54,9.22,8.79,5.3,3.89,4.35,1.65,1.88,2.76,0.56,,
2021-01-25,9.98,10.08,8.64,7.65,9.78,6.93,7.44,9.19,8.71,5.42,4.02,4.41,1.65,1.83,2.93,0.57,,
2021-01-26,9.78,9.9,8.5,7.57,9.66,6.96,7.3,9.09,8.65,5.4,4.04,4.51,1.65,1.77,3.85,0.56,,
2021-01-27,9.73,10.12,8.36,7.55,9.76,7.03,7.37,9.2,8.62,5.34,4.05,4.47,1.67,1.79,3.54,0.57,,
2021-01-28,9.84,10.25,8.41,7.6,9.69,7.07,7.42,9.25,8.61,5.43,4.01,4.42,1.65,1.74,3.22,0.56,,
2021-01-29,9.89,10.1,8.32,7.75,9.83,7.04,7.44,9.35,8.63,5.33,4.03,4.4,1.66,1.77,3.08,0.55,,
2021-02-01,9.8,9.98,8.47,8.22,9.73,6.94,7.35,9.31,8.55,5.29,4.07,4.35,1.66,1.78,3.15,0.54,,
2021-02-02,9.75,9.94,8.38,7.99,9.74,6.96,7.39,9.44,8.53,5.25,4.06,4.31,1.65,1.81,3.43,0.55,,
2021-02-03,9.71,10.02,8.29,7.93,9.79,6.99,7.31,9.4,8.72,5.26,4.04,4.3,1.69,1.8,3.39,0.56,,
2021-02-04,9.79,10.14,8.19,7.85,9.79,7.1,7.3,9.22,8.72,5.21,4.07,4.24,1.71,1.98,3.3,0.56,,
2021-02-05,9.72,10.1,8.09,7.83,9.67,6.96,7.28,9.08,8.62,5.16,4.14,4.54,1.68,1.89,3.88,0.55,,
2021-02-08,9.65,10.09,8.18,7.79,9.65,6.72,7.32,8.83,8.69,5.29,4.21,4.84,1.64,1.87,3.9,0.55,,
2021-02-09,9.61,9.98,8.21,7.97,9.81,6.77,7.24,8.88,8.76,5.2,4.2,4.79,1.65,1.87,3.67,0.6,,
2021-02-10,9.62,9.92,8.19,7.97,9.78,6.85,7.17,8.88,8.82,5.19,4.23,4.83,1.65,1.87,3.62,0.61,,
2021-02-15,9.54,9.92,8.15,8.08,9.82,6.82,7.15,8.86,8.72,5.1,4.25,4.66,1.66,1.99,3.89,0.61,,
2021-02-16,9.48,9.91,8.05,8.52,9.92,6.8,7.12,8.73,8.59,5.13,4.15,4.78,1.66,2.08,3.72,0.59,,
2021-02-17,9.49,9.74,8.01,8.65,9.76,6.74,7.04,8.53,8.7,5.16,4.11,4.68,1.73,2.09,4.19,0.61,,
2021-02-18,9.72,9.85,7.93,8.91,9.7,6.74,7.12,8.31,8.64,5.09,4.13,4.81,1.73,2.09,3.86,0.6,,
2021-02-19,9.64,9.65,7.94,8.66,9.78,6.76,7.13,8.43,8.65,5.08,4.2,4.79,1.75,2.07,4.12,0.6,,
2021-02-22,9.67,9.68,7.9,8.35,9.78,6.69,7.25,8.55,8.53,5.14,4.22,5.08,1.76,1.94,4.07,0.63,,
2021-02-23,9.51,10.15,7.66,8.78,9.69,6.38,7.31,8.18,8.73,5.1,4.22,5.23,1.73,1.87,4.08,0.64,,
2021-02-24,9.37,9.99,7.87,9.26,9.49,6.23,7.26,8.48,9.04,5.18,4.26,5.08,1.65,1.77,3.72,0.61,,
2021-02-25,9.22,10.14,7.75,9.59,9.36,6.16,7.21,8.49,9.01,5.09,4.25,5.24,1.68,1.8,3.69,0.59,,
2021-02-26,9.12,10.05,7.68,9.9,9.23,6.06,7.06,8.49,9.13,5.07,4.33,5.37,1.65,1.79,3.74,0.58,,
2021-03-02,9.3,10.41,7.67,9.61,9.34,6.04,7.15,8.38,9.12,5.01,4.24,5.23,1.68,1.81,3.67,0.58,,
2021-03-03,9.35,10.44,7.57,9.51,9.46,6.03,7.1,8.44,9.02,4.93,4.27,5.17,1.71,1.81,3.89,0.57,,
2021-03-04,9.25,10.63,7.49,9.16,9.74,5.96,7.39,8.22,9.03,4.92,4.34,5.34,1.73,1.75,3.79,0.55,,
2021-03-05,9.17,10.7,7.49,9.25,9.81,5.92,7.5,8.04,9.0,4.9,4.39,5.38,1.74,1.71,3.73,0.55,,
2021-03-08,9.29,10.4,7.83,8.82,9.87,6.02,7.46,8.23,8.89,4.86,4.4,5.35,1.8,1.75,3.72,0.55,,
2021-03-09,9.42,10.59,7.84,8.77,9.83,6.04,7.51,8.19,8.92,4.91,4.39,5.21,1.8,1.74,3.56,0.55,,
2021-03-10,9.46,10.59,7.82,8.76,9.94,5.98,7.58,8.19,8.95,4.9,4.35,5.05,1.83,1.76,3.57,0.55,,
2021-03-11,9.4,10.5,7.83,8.8,9.84,6.16,7.42,8.24,9.08,4.92,4.31,5.08,1.79,1.79,3.53,0.55,,
2021-03-12,9.36,10.49,7.86,8.78,9.73,6.2,7.39,8.26,9.02,4.98,4.33,4.98,1.74,1.78,3.82,0.55,,
2021-03-15,9.53,10.31,7.64,9.02,9.66,6.32,7.26,8.09,9.13,5.18,4.35,5.12,1.81,1.73,3.59,0.55,,
2021-03-16,9.34,10.32,7.92,8.94,9.84,6.14,7.29,8.11,9.13,5.03,4.54,5.23,1.73,1.69,3.5,0.54,,
2021-03-17,9.32,10.21,8.02,8.81,9.88,6.14,7.34,7.98,9.12,5.04,4.53,5.48,1.73,1.64,3.51,0.54,,
2021-03-18,9.39,9.93,8.02,8.84,9.83,6.21,7.4,8.06,9.16,4.96,4.53,5.35,1.73,1.6,3.73,0.55,,
2021-03-19,9.43,9.98,8.06,8.96,9.75,6.3,7.31,7.92,9.22,4.91,4.62,5.19,1.74,1.61,3.73,0.57,,
2021-03-22,9.53,10.22,7.99,8.6,9.98,6.29,7.44,7.99,9.14,4.83,4.57,5.19,1.73,1.61,3.65,0.56,,
2021-03-23,9.64,10.21,7.85,8.65,10.06,6.19,7.5,8.11,9.2,4.81,4.38,5.2,1.71,1.64,3.58,0.55,,
2021-03-24,9.52,10.28,7.82,9.09,9.92,6.32,7.44,8.1,9.08,4.78,4.37,5.08,1.69,1.63,3.62,0.55,,
2021-03-25,9.67,10.35,7.78,8.86,9.93,6.41,7.37,8.07,9.07,4.77,4.33,5.01,1.65,1.66,3.82,0.55,,
2021-03-26,9.69,10.17,8.05,8.58,9.94,6.38,7.35,8.16,9.12,4.77,4.41,5.05,1.65,1.64,3.78,0.56,,
2021-03-29,9.79,10.13,8.02,8.4,9.94,6.33,7.32,8.16,9.27,4.71,4.39,5.13,1.7,1.68,3.74,0.56,,
2021-03-30,9.83,9.88,8.03,8.62,9.86,6.27,7.38,8.18,9.16,4.73,4.37,5.26,1.73,1.71,3.72,0.57,,
2021-03-31,9.83,9.85,7.96,8.62,9.77,6.26,7.47,8.14,9.33,4.82,4.38,5.18,1.75,1.72,3.68,0.57,,
2021-04-01,9.7,10.04,7.89,8.97,9.79,6.28,7.41,8.12,9.24,4.8,4.38,5.0,1.73,1.72,3.66,0.57,,
2021-04-02,9.79,9.95,7.96,8.96,9.86,6.38,7.31,8.19,9.16,4.74,4.39,4.91,1.8,1.71,3.63,0.57,,
2021-04-05,9.91,10.13,8.0,8.95,9.98,6.42,7.45,7.64,9.15,4.68,4.36,4.95,1.83,1.74,3.57,0.56,,
2021-04-06,9.9,10.21,7.93,9.28,9.94,6.38,7.47,7.24,9.17,4.71,4.45,5.01,1.78,1.72,3.55,0.58,,
2021-04-07,9.82,10.22,7.98,9.32,10.02,6.38,7.43,7.4,9.04,4.7,4.44,4.96,1.8,1.74,3.49,0.58,,
2021-04-08,9.83,10.3,8.02,9.18,9.92,6.49,7.35,7.77,8.93,4.68,4.39,4.98,1.81,1.75,3.34,0.57,,
2021-04-09,10.09,10.13,10.11,8.51,10.01,6.08,6.92,9.45,8.29,4.39,4.05,4.57,1.68,1.64,3.14,0.53,,
2021-04-12,10.24,10.12,10.19,8.42,10.04,6.07,6.91,9.59,8.29,4.4,3.95,4.39,1.67,1.65,3.13,0.54,,
2021-04-13,10.11,10.19,10.16,8.38,10.09,6.03,6.83,9.81,8.3,4.4,3.96,4.41,1.68,1.64,3.07,0.54,,
2021-04-14,10.04,9.98,10.36,8.45,10.05,6.14,6.89,9.87,8.27,4.37,3.92,4.25,1.68,1.67,3.11,0.55,,
2021-04-15,10.07,9.86,10.37,8.66,9.98,6.16,6.81,9.85,8.3,4.4,3.94,4.27,1.67,1.69,3.02,0.55,,
2021-04-16,10.1,9.92,10.33,8.48,9.9,6.2,6.77,9.85,8.36,4.49,3.97,4.26,1.66,1.74,3.01,0.54,,
2021-04-19,10.05,9.98,10.57,8.25,10.03,6.27,6.76,9.76,8.39,4.45,3.94,4.27,1.69,1.72,2.95,0.54,,
2021-04-20,10.0,10.04,10.21,8.12,9.97,6.15,6.77,9.94,8.45,4.49,3.97,4.5,1.66,1.7,3.09,0.54,,
2021-04-21,10.02,10.09,10.25,8.06,9.96,6.14,6.74,9.91,8.44,4.48,4.01,4.44,1.66,1.69,3.16,0.55,,
