날짜,LG화학,SKC,삼성SDI,포스코케미칼,SK이노베이션,에코프로비엠,일진머티리얼즈,솔브레인,에코프로,엘앤에프,천보,후성,솔루스첨단소재,피엔티,씨아이에스,솔브레인홀딩스,원익피앤이,코스모화학,파워로직스,KG케미칼,율촌화학,엠플러스,신흥에스이씨,삼지전자,이노메트리,대보마그네틱,대주전자재료,코스모신소재,코윈테크,동화기업,에코프로에이치엔,SK아이이테크놀로지,하나기술
2020-09-29,10.99,10.14,9.69,9.42,8.96,7.55,6.01,5.29,4.98,4.06,3.87,2.72,2.59,2.5,1.89,1.38,1.24,1.02,0.95,0.84,0.83,0.78,0.62,0.57,0.52,0.42,,,,,,,
2020-10-05,11.03,10.2,9.72,9.39,9.05,7.49,5.97,5.24,4.97,3.94,3.82,2.79,2.58,2.48,1.93,1.39,1.27,1.01,0.96,0.86,0.84,0.76,0.62,0.58,0.54,0.42,,,,,,,
2020-10-06,11.23,10.05,9.67,9.35,9.01,7.39,5.99,5.42,5.03,3.89,3.8,2.87,2.56,2.43,1.96,1.37,1.23,1.03,0.95,0.89,0.84,0.77,0.61,0.57,0.53,0.41,,,,,,,
2020-10-07,11.26,9.91,9.68,9.32,9.08,7.28,5.89,5.78,5.07,3.88,3.79,2.89,2.56,2.37,1.94,1.39,1.24,1.03,0.95,0.88,0.82,0.74,0.6,0.57,0.52,0.4,,,,,,,
2020-10-08,11.37,9.97,9.73,9.46,9.11,7.28,5.91,5.73,5.2,3.83,3.75,2.9,2.53,2.31,1.89,1.31,1.21,1.0,0.95,0.85,0.8,0.71,0.6,0.55,0.51,0.4,,,,,,,
2020-10-12,9.83,9.54,9.96,10.05,10.28,7.06,5.74,5.92,5.03,3.74,3.55,2.88,2.41,2.23,1.83,,1.22,,0.93,,0.78,0.69,0.61,,0.5,0.4,2.7,1.86,,,,,
2020-10-13,9.57,9.36,10.24,9.95,10.23,7.03,5.73,6.21,5.01,3.76,3.47,2.85,2.45,2.23,1.95,,1.26,,0.94,,0.8,0.68,0.61,,0.5,0.4,2.63,1.84,,,,,
2020-10-14,9.51,9.63,10.27,9.88,10.21,7.13,5.68,6.12,4.92,3.78,3.57,2.88,2.4,2.23,1.95,,1.25,,0.94,,0.8,0.71,0.61,,0.5,0.4,2.56,1.82,,,,,
2020-10-15,9.76,9.58,10.17,9.78,10.22,7.18,5.59,6.19,4.98,3.86,3.59,2.79,2.31,2.2,1.91,,1.33,,0.94,,0.81,0.74,0.6,,0.5,0.39,2.51,1.8,,,,,
2020-10-16,9.87,9.57,10.01,9.94,10.14,7.33,5.57,5.97,5.13,3.85,3.51,2.75,2.38,2.18,1.89,,1.37,,0.93,,0.82,0.66,0.6,,0.5,0.38,2.52,1.84,,,,,
2020-10-19,9.82,9.25,10.2,9.95,10.32,7.36,5.66,6.05,5.11,3.89,3.47,2.78,2.39,2.1,1.87,,1.22,,0.98,,0.85,0.62,0.63,,0.5,0.38,2.47,1.84,,,,,
