종목명,섹터,종목코드
BNK금융지주,대형가치,138930
BNK금융지주,배당,138930
CJ CGV,미디어엔터테인먼트,079160
CJ ENM,미디어엔터테인먼트,035760
CJ ENM,메타버스,035760
DB손해보험,대형가치,005830
DB손해보험,배당,005830
DB하이텍,반도체,000990
DGB금융지주,배당,139130
DL이앤씨,대형가치,375500
GKL,여행레저,114090
GS,배당,078930
GS건설,대형가치,006360
HMM,대형성장,011200
IHQ,미디어엔터테인먼트,003560
ISC,반도체,095340
JYP Ent.,미디어엔터테인먼트,035900
KB금융,대형가치,105560
KB금융,배당,105560
KEC,전기차,092220
KT,대형가치,030200
KT,배당,030200
KT,5G,030200
KT,메타버스,030200
KT&G,대형가치,033780
KT&G,배당,033780
LG,배당,003550
LG디스플레이,대형가치,034220
LG생활건강,화장품,051900
LG생활건강,대형성장,051900
LG유플러스,대형가치,032640
LG유플러스,배당,032640
LG유플러스,5G,032640
LG유플러스,메타버스,032640
LG전자,전기차,066570
LG전자,5G,066570
LG화학,2차전지,051910
LG화학,대형성장,051910
LS ELECTRIC,전기차,010120
NAVER,대형성장,035420
NAVER,메타버스,035420
NHN,게임,181710
NH투자증권,대형가치,005940
NPC,메타버스,004250
PI첨단소재,5G,178920
POSCO,대형가치,005490
POSCO,배당,005490
RFHIC,5G,218410
S-Oil,대형가치,010950
SBS,메타버스,034120
SBS콘텐츠허브,미디어엔터테인먼트,046140
SFA반도체,반도체,036540
SKC,2차전지,011790
SKC,대형성장,011790
SK렌터카,여행레저,068400
SK바이오사이언스,대형성장,302440
SK바이오사이언스,바이오,302440
SK바이오팜,대형성장,326030
SK바이오팜,바이오,326030
SK아이이테크놀로지,2차전지,361610
SK아이이테크놀로지,대형성장,361610
SK이노베이션,2차전지,096770
SK이노베이션,대형성장,096770
SK케미칼,대형성장,285130
SK텔레콤,대형가치,017670
SK텔레콤,5G,017670
SK텔레콤,메타버스,017670
SK하이닉스,대형성장,000660
SK하이닉스,반도체,000660
SM C&C,미디어엔터테인먼트,048550
SNT모티브,전기차,064960
강원랜드,여행레저,035250
강원랜드,대형성장,035250
강원랜드,배당,035250
게임빌,게임,063080
고려아연,대형가치,010130
고려아연,배당,010130
골프존,게임,215000
금호석유,대형성장,011780
기아,배당,000270
기아,전기차,000270
기업은행,대형가치,024110
나스미디어,미디어엔터테인먼트,089600
네오위즈,게임,095660
네오위즈홀딩스,게임,042420
네오팜,화장품,092730
네패스,반도체,033640
넥스틴,반도체,348210
넥슨지티,게임,041140
넵튠,게임,217270
넵튠,메타버스,217270
넷게임즈,게임,225570
넷마블,게임,251270
넷마블,미디어엔터테인먼트,251270
넷마블,대형성장,251270
녹십자,대형성장,006280
녹십자,바이오,006280
대덕,5G,008060
대덕전자,5G,353200
대보마그네틱,2차전지,290670
대원미디어,게임,048910
대주전자재료,2차전지,078600
대한광통신,5G,010170
대한항공,대형가치,003490
더블유게임즈,게임,192080
더존비즈온,대형성장,012510
