종목명,섹터,종목코드
SK이노베이션,에너지,96770
S-Oil,에너지,10950
현대중공업지주,에너지,267250
GS,에너지,78930
SK디스커버리,에너지,6120
SGC에너지,에너지,5090
KG케미칼,에너지,1390
이아이디,에너지,93230
한국쉘석유,에너지,2960
제이씨케미칼,에너지,137950
오르비텍,에너지,46120
현대에너지솔루션,에너지,322000
SDN,에너지,99220
세원이앤씨,에너지,91090
대성산업,에너지,128820
위즈코프,에너지,38620
극동유화,에너지,14530
흥구석유,에너지,24060
미창석유,에너지,3650
젬백스지오,에너지,41590
에스에너지,에너지,95910
지엔원에너지,에너지,270520
스페코,에너지,13810
코드네이처,에너지,78940
서남,에너지,294630
경동인베스트,에너지,12320
중앙에너비스,에너지,440
윌링스,에너지,313760
LG화학,화학,51910
한화솔루션,화학,9830
포스코케미칼,화학,3670
롯데케미칼,화학,11170
SKC,화학,11790
금호석유,화학,11780
한솔케미칼,화학,14680
OCI,화학,10060
SK케미칼,화학,285130
효성첨단소재,화학,298050
코오롱인더,화학,120110
롯데정밀화학,화학,4000
에코프로,화학,86520
에코프로에이치엔,화학,383310
후성,화학,93370
코스모신소재,화학,5070
파미셀,화학,5690
PI첨단소재,화학,178920
대한유화,화학,6650
유니드,화학,14830
효성화학,화학,298000
휴켐스,화학,69260
국도화학,화학,7690
코스모화학,화학,5420
이엔드디,화학,101360
미원상사,화학,2840
티케이케미칼,화학,104480
송원산업,화학,4430
켐트로스,화학,220260
이수화학,화학,5950
나노신소재,화학,121600
애경유화,화학,161000
태광산업,화학,3240
이엔에프테크놀로지,화학,102710
남해화학,화학,25860
켐트로닉스,화학,89010
코오롱,화학,2020
원익머트리얼즈,화학,104830
미원에스씨,화학,268280
동성화인텍,화학,33500
코오롱플라스틱,화학,138490
한농화성,화학,11500
경인양행,화학,12610
케이피엠테크,화학,42040
테이팩스,화학,55490
카프로,화학,6380
삼영무역,화학,2810
나노씨엠에스,화학,247660
한국알콜,화학,17890
와이엠티,화학,251370
동성케미컬,화학,102260
레이크머티리얼즈,화학,281740
백광산업,화학,1340
AK홀딩스,화학,6840
피엔에이치테크,화학,239890
KPX케미칼,화학,25000
금양,화학,1570
원익큐브,화학,14190
레몬,화학,294140
SH에너지화학,화학,2360
미원홀딩스,화학,107590
대정화금,화학,120240
동남합성,화학,23450
그린케미칼,화학,83420
삼영화학,화학,3720
한국석유,화학,4090
석경에이티,화학,357550
HRS,화학,36640
인바이오,화학,352940
태경케미컬,화학,6890
대유,화학,290380
진양홀딩스,화학,100250
KPX홀딩스,화학,92230
미원화학,화학,134380
경농,화학,2100
나노,화학,187790
나노브릭,화학,286750
오공,화학,45060
동방아그로,화학,7590
KCI,화학,36670
대한화섬,화학,3830
진양산업,화학,3780
조비,화학,1550
