종목명,산업,섹터,종목코드
LG화학,소재,소재,51910
POSCO,소재,소재,5490
한화솔루션,소재,소재,9830
고려아연,소재,소재,10130
포스코케미칼,소재,소재,3670
SKC,소재,소재,11790
현대제철,소재,소재,4020
롯데케미칼,소재,소재,11170
금호석유,소재,소재,11780
한솔케미칼,소재,소재,14680
에코프로,소재,소재,86520
OCI,소재,소재,10060
SK케미칼,소재,소재,285130
효성첨단소재,소재,소재,298050
롯데정밀화학,소재,소재,4000
코오롱인더,소재,소재,120110
에코프로에이치엔,소재,소재,383310
동국제강,소재,소재,1230
후성,소재,소재,93370
코스모신소재,소재,소재,5070
파미셀,소재,소재,5690
PI첨단소재,소재,소재,178920
대한유화,소재,소재,6650
풍산,소재,소재,103140
유니드,소재,소재,14830
휴켐스,소재,소재,69260
효성화학,소재,소재,298000
나노신소재,소재,소재,121600
국도화학,소재,소재,7690
국일제지,소재,소재,78130
코스모화학,소재,소재,5420
애경케미칼,소재,소재,161000
KG동부제철,소재,소재,16380
KG ETS,소재,소재,151860
동원시스템즈,소재,소재,14820
이엔에프테크놀로지,소재,소재,102710
미원상사,소재,소재,2840
송원산업,소재,소재,4430
이수화학,소재,소재,5950
켐트로스,소재,소재,220260
켐트로닉스,소재,소재,89010
이엔드디,소재,소재,101360
남선알미늄,소재,소재,8350
남해화학,소재,소재,25860
세아베스틸,소재,소재,1430
아주스틸,소재,소재,139990
한솔제지,소재,소재,213500
태광산업,소재,소재,3240
원익머트리얼즈,소재,소재,104830
일진다이아,소재,소재,81000
티케이케미칼,소재,소재,104480
아세아제지,소재,소재,2310
해성산업,소재,소재,34810
미원에스씨,소재,소재,268280
율촌화학,소재,소재,8730
코오롱,소재,소재,2020
락앤락,소재,소재,115390
테이팩스,소재,소재,55490
동성화인텍,소재,소재,33500
대한제강,소재,소재,84010
경인양행,소재,소재,12610
레이크머티리얼즈,소재,소재,281740
한국철강,소재,소재,104700
엠투엔,소재,소재,33310
세아제강지주,소재,소재,3030
포스코엠텍,소재,소재,9520
삼아알미늄,소재,소재,6110
삼영무역,소재,소재,2810
케이피엠테크,소재,소재,42040
동일산업,소재,소재,4890
신대양제지,소재,소재,16590
와이엠티,소재,소재,251370
고려제강,소재,소재,2240
나노씨엠에스,소재,소재,247660
알루코,소재,소재,1780
카프로,소재,소재,6380
코오롱플라스틱,소재,소재,138490
한국알콜,소재,소재,17890
한농화성,소재,소재,11500
포스코강판,소재,소재,58430
대호에이엘,소재,소재,69460
동국S&C,소재,소재,100130
동성케미컬,소재,소재,102260
현대비앤지스틸,소재,소재,4560
백광산업,소재,소재,1340
풍산홀딩스,소재,소재,5810
동양철관,소재,소재,8970
대양금속,소재,소재,9190
아세아,소재,소재,2030
대영포장,소재,소재,14160
디씨엠,소재,소재,24090
연우,소재,소재,115960
한솔홀딩스,소재,소재,4150
피엔에이치테크,소재,소재,239890
성창기업지주,소재,소재,180
KISCO홀딩스,소재,소재,1940
세아제강,소재,소재,306200
깨끗한나라,소재,소재,4540
금양,소재,소재,1570
감성코퍼레이션,소재,소재,36620
AK홀딩스,소재,소재,6840
한국주철관,소재,소재,970
미원홀딩스,소재,소재,107590
원익큐브,소재,소재,14190
대창,소재,소재,12800
조일알미늄,소재,소재,18470
KPX케미칼,소재,소재,25000
동국산업,소재,소재,5160
그린플러스,소재,소재,186230
삼보판지,소재,소재,23600
티플랙스,소재,소재,81150
TCC스틸,소재,소재,2710
삼양패키징,소재,소재,272550
펌텍코리아,소재,소재,251970
EG,소재,소재,37370
무림P&P,소재,소재,9580
태림포장,소재,소재,11280
동남합성,소재,소재,23450
태경비케이,소재,소재,14580
삼영화학,소재,소재,3720
그린케미칼,소재,소재,83420
SH에너지화학,소재,소재,2360
레몬,소재,소재,294140
대정화금,소재,소재,120240
조선내화,소재,소재,480
한창제지,소재,소재,9460
진양홀딩스,소재,소재,100250
한국내화,소재,소재,10040
HRS,소재,소재,36640
태경산업,소재,소재,15890
웹스,소재,소재,196700
한국선재,소재,소재,25550
황금에스티,소재,소재,32560
대유,소재,소재,290380
한국석유,소재,소재,4090
인바이오,소재,소재,352940
석경에이티,소재,소재,357550
제일제강,소재,소재,23440
한국특강,소재,소재,7280
이구산업,소재,소재,25820
휴먼엔,소재,소재,32860
삼보산업,소재,소재,9620
태경케미컬,소재,소재,6890
휴스틸,소재,소재,5010
서원,소재,소재,21050
KPX홀딩스,소재,소재,92230
한국수출포장,소재,소재,2200
미원화학,소재,소재,134380
진양산업,소재,소재,3780
경남스틸,소재,소재,39240
나노브릭,소재,소재,286750
KCI,소재,소재,36670
오공,소재,소재,45060
무림페이퍼,소재,소재,9200
문배철강,소재,소재,8420
경농,소재,소재,2100
동방아그로,소재,소재,7590
나노,소재,소재,187790
세하,소재,소재,27970
피제이메탈,소재,소재,128660
컨버즈,소재,소재,109070
대한화섬,소재,소재,3830
NI스틸,소재,소재,8260
세아홀딩스,소재,소재,58650
영풍제지,소재,소재,6740
대동스틸,소재,소재,48470
만호제강,소재,소재,1080
조선선재,소재,소재,120030
한국바이오젠,소재,소재,318000
부국철강,소재,소재,26940
화인베스틸,소재,소재,133820
조비,소재,소재,1550
동국알앤에스,소재,소재,75970
파버나인,소재,소재,177830
삼현철강,소재,소재,17480
영보화학,소재,소재,14440
대륙제관,소재,소재,4780
대림제지,소재,소재,17650
세아특수강,소재,소재,19440
쎄노텍,소재,소재,222420
한국팩키지,소재,소재,37230
에스폴리텍,소재,소재,50760
영흥,소재,소재,12160
나노캠텍,소재,소재,91970
금강철강,소재,소재,53260
신풍제지,소재,소재,2870
한국주강,소재,소재,25890
원일특강,소재,소재,12620
대호특수강,소재,소재,21040
쎄니트,소재,소재,37760
삼화왕관,소재,소재,4450
SUN&L,소재,소재,2820
동양에스텍,소재,소재,60380
와이오엠,소재,소재,66430
DSR제강,소재,소재,69730
한일철강,소재,소재,2220
효성오앤비,소재,소재,97870
하이스틸,소재,소재,71090
전진바이오팜,소재,소재,110020
WISCOM,소재,소재,24070
DSR,소재,소재,155660
유에스티,소재,소재,263770
무림SP,소재,소재,1810
스타플렉스,소재,소재,115570
원풍,소재,소재,8370
국일신동,소재,소재,60480
성보화학,소재,소재,3080
동일제강,소재,소재,2690
진양폴리,소재,소재,10640
승일,소재,소재,49830
대창스틸,소재,소재,140520
페이퍼코리아,소재,소재,1020
제일연마,소재,소재,1560
한솔PNS,소재,소재,10420
진양화학,소재,소재,51630
엔피케이,소재,소재,48830
삼륭물산,소재,소재,14970
한창산업,소재,소재,79170
CS홀딩스,소재,소재,590
한일화학,소재,소재,7770
동일철강,소재,소재,23790
케이피티유,소재,소재,54410
케이디켐,소재,소재,221980
SHD,소재,소재,1770
금비,소재,소재,8870
광진실업,소재,소재,26910
원림,소재,소재,5820
이화산업,소재,소재,760
삼성물산,산업재,자본재,28260
SK,산업재,자본재,34730
LG,산업재,자본재,3550
두산중공업,산업재,자본재,34020
한국조선해양,산업재,자본재,9540
에이치엘비,산업재,자본재,28300
현대건설,산업재,자본재,720
삼성엔지니어링,산업재,자본재,28050
삼성중공업,산업재,자본재,10140
GS건설,산업재,자본재,6360
한국항공우주,산업재,자본재,47810
두산밥캣,산업재,자본재,241560
DL이앤씨,산업재,자본재,375500
현대미포조선,산업재,자본재,10620
현대중공업,산업재,자본재,329180
현대로템,산업재,자본재,64350
KCC,산업재,자본재,2380
한화에어로스페이스,산업재,자본재,12450
현대엘리베이,산업재,자본재,17800
대우건설,산업재,자본재,47040
CJ,산업재,자본재,1040
현대두산인프라코어,산업재,자본재,42670
