Industry,Sector,SectorCode
에너지,에너지,G1010
소재,소재,G1510
산업재,자본재,G2010
산업재,상업서비스와공급품,G2020
산업재,운송,G2030
경기관련소비재,자동차와부품,G2510
경기관련소비재,내구소비재와의류,G2520
경기관련소비재,"호텔,레스토랑,레저등",G2530
경기관련소비재,소매(유통),G2550
경기관련소비재,교육서비스,G2560
필수소비재,식품과기본식료품소매,G3010
필수소비재,"식품,음료,담배",G3020
필수소비재,가정용품과개인용품,G3030
건강관리,건강관리장비와서비스,G3510
건강관리,제약과생물공학,G3520
금융,은행,G4010
금융,증권,G4020
금융,다각화된금융,G4030
금융,보험,G4040
금융,부동산,G4050
IT,소프트웨어와서비스,G4510
IT,기술하드웨어와장비,G4520
IT,반도체와반도체장비,G4530
IT,전자와전기제품,G4535
IT,디스플레이,G4540
커뮤니케이션서비스,전기통신서비스,G5010
커뮤니케이션서비스,미디어와엔터테인먼트,G5020
유틸리티,유틸리티,G5510
