날짜,시가,고가,저가,종가,거래량,거래대금
2010-01-04,1164.61,1170.16,1164.06,1169.87,163180587,235841259930
2010-01-05,1173.88,1176.3,1169.99,1172.95,204496883,353585156635
2010-01-06,1176.66,1179.08,1174.49,1178.97,198172611,377421930855
2010-01-07,1180.75,1185.28,1172.32,1173.11,220528890,376898854905
2010-01-08,1178.67,1180.57,1167.39,1177.81,167544014,259112040165
2010-01-11,1182.36,1183.98,1179.4,1181.79,200299442,333091423585
2010-01-12,1184.69,1185.12,1172.88,1178.28,222478370,348514919055
2010-01-13,1176.64,1177.48,1167.64,1169.49,208631797,363095648520
2010-01-14,1173.35,1176.45,1172.65,1175.71,262623430,334635365090
2010-01-15,1179.87,1188.21,1179.7,1188.21,236656984,408725045920
2010-01-18,1188.73,1190.18,1185.56,1188.16,239175500,431249461590
2010-01-19,1190.79,1191.47,1178.11,1180.02,221369732,410332894160
2010-01-20,1186.09,1186.61,1177.36,1178.65,494268915,553427294705
2010-01-21,1175.17,1181.96,1171.89,1181.96,386017734,498847422405
2010-01-22,1172.91,1176.09,1158.85,1172.76,430972309,522184190915
2010-01-25,1164.69,1177.17,1159.36,1164.68,424863303,666180022810
2010-01-26,1171.59,1172.55,1141.11,1148.99,407850125,670532477710
2010-01-27,1151.73,1154.3,1136.95,1139.82,293753303,458919113455
2010-01-28,1142.76,1145.56,1128.74,1141.61,327823434,427723275635
2010-01-29,1131.26,1131.92,1109.55,1112.71,320097882,384372996630
2010-02-01,1114.72,1120.22,1110.36,1120.2,247623491,308186276350
2010-02-02,1128.31,1133.51,1119.46,1123.02,297296432,368984089005
2010-02-03,1131.77,1133.71,1127.81,1132.85,292498440,350575772650
2010-02-04,1134.66,1140.34,1132.29,1140.09,277558772,411450892435
2010-02-05,1106.66,1113.97,1104.27,1113.97,319102538,544235757850
2010-02-08,1121.37,1122.54,1107.28,1107.46,332459953,556695808415
2010-02-09,1105.24,1114.8,1103.53,1113.48,300819858,522865377035
2010-02-10,1122.1,1123.5,1113.74,1113.77,321376715,529828773955
2010-02-11,1116.02,1126.61,1116.02,1126.61,267479592,442808571140
2010-02-12,1130.46,1131.44,1123.53,1131.43,180863178,320265034100
2010-02-16,1132.65,1139.66,1131.48,1139.31,187425927,303224766705
2010-02-17,1145.79,1148.45,1145.36,1147.93,261390626,380603254155
2010-02-18,1151.02,1151.65,1147.52,1147.84,210769398,418682588620
2010-02-19,1146.19,1152.04,1134.49,1135.69,236065858,455081773710
2010-02-22,1145.62,1155.03,1145.62,1155.0,204127994,389571854295
2010-02-23,1155.87,1158.2,1152.86,1156.86,260759369,428158604435
2010-02-24,1155.69,1159.72,1153.31,1157.65,288586551,509308603145
2010-02-25,1163.75,1164.29,1142.48,1146.75,302080994,644649234760
2010-02-26,1149.85,1151.06,1142.02,1148.47,254027554,465339129010
2010-03-02,1156.12,1157.93,1151.29,1154.37,263851100,422233832115
2010-03-03,1155.24,1156.88,1152.3,1154.16,280809509,365349295380
2010-03-04,1154.98,1155.89,1144.78,1148.66,258474065,367170560560
2010-03-05,1151.57,1159.72,1151.57,1159.47,226499657,385797242705
2010-03-08,1167.58,1170.11,1164.75,1169.81,198900228,384700682455
2010-03-09,1173.49,1173.49,1167.78,1171.4,492185908,631524616170
2010-03-10,1173.51,1175.07,1168.31,1173.17,337049713,591764326010
2010-03-11,1176.7,1177.68,1171.41,1171.43,355176925,531476290280
2010-03-12,1175.61,1177.23,1172.66,1175.03,243447260,371870152405
2010-03-15,1176.55,1178.18,1172.12,1175.59,225259125,404122447790
2010-03-16,1179.26,1185.93,1177.55,1185.57,352785479,450434398190
2010-03-17,1191.23,1192.56,1188.4,1191.17,396562065,507478592455
2010-03-18,1192.81,1194.81,1190.41,1194.47,283130845,453668212535
2010-03-19,1197.75,1202.25,1196.53,1201.22,298382741,381176538135
2010-03-22,1204.07,1204.9,1199.22,1201.44,227900815,337535150515
2010-03-23,1207.33,1208.34,1204.78,1205.74,272351138,398538319145
2010-03-24,1211.24,1213.25,1196.91,1198.53,215619889,384287645200
2010-03-25,1199.36,1201.36,1196.45,1200.52,234433311,340084668355
2010-03-26,1201.6,1210.88,1201.48,1210.05,265651366,340100750245
2010-03-29,1203.68,1208.8,1199.54,1200.8,205274240,369539066075
2010-03-30,1206.64,1211.02,1205.0,1207.66,175675779,312749577290
2010-03-31,1214.72,1215.98,1205.62,1208.76,171693299,310864798095
2010-04-01,1213.24,1218.74,1213.12,1218.09,138677788,300192706070
2010-04-02,1222.67,1224.52,1218.68,1220.14,183929015,379649957895
2010-04-05,1223.53,1226.01,1197.43,1212.39,257487328,389668586085
2010-04-06,1216.45,1219.88,1213.27,1215.49,263361875,425022506865
2010-04-07,1218.66,1224.08,1218.13,1223.09,240591776,352182916575
2010-04-08,1223.13,1227.88,1222.44,1227.88,234104034,408139713350
2010-04-09,1232.71,1234.35,1220.1,1227.0,238942035,404413264660
2010-04-12,1234.64,1234.73,1220.73,1220.73,256272477,415906617800
2010-04-13,1224.53,1226.25,1220.32,1222.82,246540036,425512217685
2010-04-14,1226.42,1231.1,1225.26,1230.99,255660620,444434712135
2010-04-15,1236.39,1237.13,1231.89,1234.09,242003367,467641993595
2010-04-16,1239.05,1241.31,1231.2,1237.42,245024030,532817791120
2010-04-19,1226.06,1243.94,1225.89,1241.4,240582870,565279007570
2010-04-20,1253.6,1262.54,1249.8,1256.95,403362437,942429346620
2010-04-21,1264.14,1267.22,1260.07,1267.07,373134895,754014581945
2010-04-22,1268.43,1269.74,1262.71,1266.51,379672865,776542234005
2010-04-23,1269.73,1271.34,1256.76,1257.12,310490344,606971534665
2010-04-26,1262.74,1264.19,1256.92,1257.93,267642850,546955092060
2010-04-27,1262.1,1263.54,1257.85,1259.23,288754115,685982697585
2010-04-28,1241.39,1249.74,1239.22,1249.74,222719580,518490690700
2010-04-29,1256.53,1256.59,1248.22,1249.07,266202984,574981207970
2010-04-30,1257.86,1260.87,1250.59,1253.91,247292535,512300009540
2010-05-03,1252.17,1254.48,1238.19,1243.94,267670510,443618225350
2010-05-04,1251.39,1252.63,1243.12,1244.62,216769075,464237431235
2010-05-06,1222.69,1234.31,1219.8,1230.77,276151003,603715207810
2010-05-07,1195.89,1214.0,1188.24,1208.25,252996867,599754578145
2010-05-10,1216.94,1232.46,1216.94,1232.29,232505001,565500613780
2010-05-11,1244.59,1245.04,1227.73,1231.98,268623420,545022773190
2010-05-12,1236.54,1240.18,1231.59,1234.32,271845520,510309518480
2010-05-13,1243.79,1254.08,1243.79,1252.87,225351990,500450542705
2010-05-14,1254.45,1257.83,1252.73,1257.68,231564877,515260096380
2010-05-17,1251.87,1254.68,1233.11,1234.84,208165080,412109222805
2010-05-18,1246.23,1246.38,1213.92,1220.88,312888978,537172624265
2010-05-19,1219.03,1219.03,1198.54,1215.97,241400773,391111034510
2010-05-20,1213.94,1221.14,1170.87,1178.98,191142685,377637520820
2010-05-24,1171.14,1175.92,1158.45,1170.61,139934559,272398606665
2010-05-25,1161.29,1161.76,1089.37,1115.32,272418061,455701908960
2010-05-26,1121.38,1138.22,1114.49,1136.63,180921986,309710071605
2010-05-27,1133.99,1164.8,1133.59,1163.65,181249617,359786514945
2010-05-28,1180.0,1182.83,1168.27,1172.8,156036652,325972359370
2010-05-31,1174.05,1187.96,1172.99,1187.96,151536943,287065367550
