종목코드,종목명,거래소,종가,시가총액,R1D,R1W,R1M,R3M,R6M,R1Y,PER,PBR,DIV
005930,삼성전자,KS,78000,465046060645000,-0.3831417624521105,-0.7633587786259555,0.7751937984496138,9.090909090909083,-3.9408866995073843,-6.024096385542165,20.3125,1.98,3.84
000660,SK하이닉스,KS,124500,90272293260000,-1.9685039370078705,-3.11284046692607,3.750000000000009,32.446808510638306,-0.40000000000000036,-1.1904761904761862,17.90625,1.75,0.94
005935,삼성전자우,KS,70900,58178089690000,-0.7002801120448154,-0.7002801120448154,0.4249291784702569,6.9381598793363475,-4.059539918809197,-4.704301075268813,0.0,0.0,4.22
207940,삼성바이오로직스,KS,836000,55313940000000,-0.9478672985781977,-8.232711306256856,-8.533916849015322,0.7228915662650603,-1.6470588235294126,0.8443908323281013,229.5,12.03,0.0
035420,NAVER,KS,335000,55120492560000,-0.887573964497046,-10.904255319148938,-15.189873417721522,-13.770913770913772,-18.192918192918196,14.334470989761083,48.71875,7.47,0.12
051910,LG화학,KS,710000,49908786501000,-1.2517385257301838,14.886731391585762,-5.459387483355527,-7.0680628272251305,-18.671248568155786,-20.13498312710911,106.5,3.08,1.41
005380,현대차,KS,209500,44763485176500,-2.558139534883719,-0.47505938242280443,0.9638554216867545,2.195121951219514,-11.228813559322038,0.9638554216867545,38.40625,0.84,1.43
035720,카카오,KS,96600,43208290431000,-3.400000000000003,-15.63318777292576,-21.142857142857142,-14.889867841409687,-40.0,22.462950520404146,261.75,6.76,0.03
006400,삼성SDI,KS,624000,42909066720000,-1.8867924528301883,-4.0000000000000036,-12.112676056338023,-9.037900874635573,-16.465863453815267,-7.0044709388971675,72.625,3.38,0.16
000270,기아,KS,83800,33928912143900,-3.3448673587081923,1.4527845036319542,0.7211538461538547,2.3199023199023117,-5.524239007891774,30.937499999999996,22.59375,1.14,1.19
005490,POSCO,KS,304000,26504797840000,-0.3278688524590123,8.571428571428562,4.827586206896561,-5.000000000000004,-11.240875912408754,11.35531135531136,15.078125,0.6,2.63
068270,셀트리온,KS,187000,25934060064000,2.465753424657535,-5.793450881612094,-9.879518072289162,-16.51785714285714,-29.962546816479396,-46.18705035971223,50.71875,7.85,0.0
012330,현대모비스,KS,262000,24730864081000,-2.78293135435993,2.1442495126705596,8.713692946058082,-1.5037593984962405,-7.583774250440922,-8.710801393728218,15.9921875,0.75,1.53
323410,카카오뱅크,KS,51100,24280637010700,-7.090909090909092,-13.536379018612521,-24.296296296296294,-10.350877192982455,,,165.375,7.45,0.0
105560,KB금융,KS,57800,24116859360000,3.7701974865349985,4.520795660036159,0.521739130434784,4.900181488203259,7.434944237918217,36.16018845700823,6.55859375,0.57,3.06
096770,SK이노베이션,KS,246000,22654063180000,-0.4048582995951455,-0.8064516129032251,18.554216867469876,-0.8064516129032251,-11.191335740072205,6.493506493506485,0.0,1.59,0.0
028260,삼성물산,KS,115000,21492014315000,-1.2875536480686733,-2.127659574468088,-1.2875536480686733,-5.737704918032782,-14.814814814814813,-20.138888888888886,18.3125,0.72,2.0
066570,LG전자,KS,130000,21192391913000,-5.454545454545457,-6.810035842293905,5.263157894736836,8.333333333333325,-23.529411764705888,-8.450704225352112,11.8984375,1.52,0.92
055550,신한지주,KS,38550,19889082829000,2.39043824701195,3.489932885906044,2.663115845539288,-1.406649616368283,-3.383458646616544,22.187004754358153,5.7890625,0.47,3.89
377300,카카오페이,KS,148500,19584637380000,-3.2573289902280145,-15.864022662889521,-26.48514851485149,,,,0.0,90.56,0.0
259960,크래프톤,KS,381500,18680927667500,-3.2953105196451227,-17.065217391304344,-17.868675995694293,-18.82978723404255,,,27.703125,13.44,0.0
034730,SK,KS,244000,18055361611500,-0.6109979633401208,-4.500978473581219,-8.270676691729328,-5.058365758754868,-11.913357400722024,-2.2044088176352727,68.875,0.99,2.87
302440,SK바이오사이언스,KS,213000,16371000000000,0.0,-7.189542483660127,-12.164948453608249,-3.6199095022624417,29.483282674772028,,396.75,49.4,0.0
051900,LG생활건강,KS,956000,14899759938000,-13.405797101449279,-13.405797101449279,-17.728055077452666,-30.924855491329485,-45.527065527065524,-40.69478908188585,20.09375,3.56,1.15
015760,한국전력,KS,21500,13834325859350,-0.6928406466512715,-3.803131991051456,-3.1531531531531543,-5.701754385964907,-14.342629482071711,-20.07434944237918,6.9296875,0.2,5.66
086790,하나금융지주,KS,45400,13600965408600,4.487917146145004,7.20188902007084,5.092592592592582,1.7937219730941756,1.001112347052291,35.724962630792234,5.12890625,0.44,4.07
009150,삼성전기,KS,181000,13519558976000,-3.4666666666666623,-6.940874035989719,2.840909090909083,8.708708708708702,-2.425876010781669,0.5555555555555536,22.640625,2.43,0.77
032830,삼성생명,KS,67400,13480000000000,2.4316109422492405,4.496124031007742,0.44709388971684305,-5.7342657342657315,-14.683544303797468,-13.589743589743586,9.5625,0.32,3.71
036570,엔씨소프트,KS,614000,13479769508000,1.320132013201314,-7.946026986506749,-16.12021857923497,6.228373702422152,-26.817640047675805,-37.21881390593047,21.546875,4.29,1.39
011200,HMM,KS,26200,12812834795200,-0.7575757575757569,-4.029304029304026,-4.379562043795615,-9.810671256454384,-44.432661717921526,58.30815709969788,254.375,5.07,0.0
003550,LG,KS,80800,12678460035800,-0.9803921568627416,-0.24691358024691024,-3.349282296650713,-12.07834602829162,-19.199999999999996,-11.730647381415372,9.6875,0.7,3.09
017670,SK텔레콤,KS,56500,12342189321600,0.17730496453900457,-1.2237762237762184,2.5408348457350183,7.543255229647672,3.3020075328189513,38.17221393460664,13.796875,0.96,3.54
352820,하이브,KS,295500,12240602552000,-2.3140495867768562,-15.691868758915838,-13.343108504398826,5.160142348754437,-2.1523178807947074,88.9144610663598,100.0,8.9,0.0
091990,셀트리온헬스케어,KQ,76000,11813171547600,2.42587601078168,-5.2369077306733125,-6.172839506172845,-14.60674157303371,-33.74019180470793,-49.76867151354924,49.21875,6.21,0.0
018260,삼성에스디에스,KS,152000,11722736700000,-0.6535947712418277,-2.8753993610223683,-3.1847133757961776,-5.29595015576324,-19.576719576719583,-18.279569892473113,26.515625,1.76,1.58
010950,S-Oil,KS,96900,10909272544800,-0.41109969167523186,12.805587892898718,9.988649262202042,-8.584905660377363,-11.909090909090914,37.83783783783783,0.0,1.99,0.0
033780,KT&G,KS,78500,10750002515100,0.12755102040815647,-0.6329113924050667,-8.187134502923977,-2.7261462205700138,-6.7695961995249405,-4.384896467722288,8.421875,1.19,6.11
034020,두산중공업,KS,20550,10682231676000,1.4814814814814836,-1.9093078758949833,-1.6605254342728637,12.35647895024603,-16.012751348700338,44.840710459543274,0.0,2.5,0.0
000810,삼성화재,KS,222500,10517213814000,3.7296037296037365,8.801955990220044,6.205250596658707,-7.676348547717837,1.5981735159817267,21.584699453551902,12.53125,0.69,3.96
361610,SK아이이테크놀로지,KS,147000,10409448432000,-4.234527687296419,-10.63829787234043,-12.759643916913943,-27.22772277227723,-23.834196891191706,,96.625,7.63,0.0
316140,우리금융지주,KS,13950,10120041631100,6.488549618320616,8.984375,6.896551724137923,20.25862068965518,20.25862068965518,46.68769716088328,8.0078125,0.44,2.58
003670,포스코케미칼,KS,130500,10108950210000,-2.2471910112359605,-9.059233449477356,-10.921501706484637,-17.14285714285714,-11.22448979591837,10.593220338983045,286.75,8.47,0.23
247540,에코프로비엠,KQ,436900,10008930802200,-3.0834072759538644,-8.979166666666671,-19.84956888644286,3.555344868452237,100.32095369096746,135.14531754574813,193.625,20.72,0.1
329180,현대중공업,KS,111500,9898202434000,-0.44642857142856984,14.241803278688515,3.240740740740744,6.698564593301426,,,0.0,1.47,0.0
003490,대한항공,KS,28100,9756374141250,-1.7482517482517501,-4.74576271186441,-3.436426116838487,-10.223642172523961,-12.868217054263564,31.06343283582089,0.0,1.98,0.0
010130,고려아연,KS,514000,9699180000000,0.0,0.7843137254901933,2.8000000000000025,-3.2015065913371,17.754868270332192,28.179551122194525,15.859375,1.39,2.92
251270,넷마블,KS,111500,9626792224000,-1.3274336283185861,-12.549019607843137,-6.302521008403361,-8.230452674897116,-19.202898550724633,-14.885496183206104,29.140625,1.77,0.69
090430,아모레퍼시픽,KS,152000,8920145747500,-5.29595015576324,-9.523809523809524,-11.111111111111116,-16.2534435261708,-38.21138211382114,-25.12315270935961,297.0,2.35,0.53
034220,LG디스플레이,KS,23800,8498122875000,-1.449275362318836,-3.6437246963562764,9.930715935334877,32.960893854748605,-1.855670103092788,24.93438320209973,0.0,0.75,0.0
402340,SK스퀘어,KS,57500,8120238575400,-5.737704918032782,-13.533834586466165,-10.99071207430341,,,,0.0,0.0,0.0
030200,KT,KS,30800,8055299276800,1.8181818181818077,1.4827018121911006,0.1626016260162677,-1.7543859649122862,-4.938271604938271,29.41176470588236,11.4765625,0.57,4.38
024110,기업은행,KS,10650,7889586222200,2.898550724637672,2.898550724637672,-2.73972602739726,0.4716981132075526,1.4285714285714235,23.549883990719266,5.390625,0.34,4.42
011170,롯데케미칼,KS,230000,7866208660500,-0.8620689655172376,5.990783410138256,2.2222222222222143,-3.563941299790352,-12.878787878787879,-17.710196779964228,49.75,0.61,1.57
011070,LG이노텍,KS,331000,7857479524000,-1.7804154302670572,-10.6612685560054,14.930555555555557,68.02030456852792,45.49450549450549,71.94805194805194,33.15625,3.23,0.21
263750,펄어비스,KQ,116100,7701560450000,-2.7638190954773822,-13.358208955223883,-5.301794453507336,31.931818181818183,50.583657587548636,130.35714285714283,70.125,11.92,0.0
009830,한화솔루션,KS,38250,7345094284800,4.508196721311486,7.594936708860756,5.226960110041268,-8.92857142857143,-13.656884875846497,-19.794506185783177,20.5625,1.07,0.0
009540,한국조선해양,KS,102500,7254244390000,1.990049751243772,9.042553191489366,5.56127703398559,9.275053304904057,-22.93233082706767,-6.818181818181824,0.0,0.67,0.0
326030,SK바이오팜,KS,92200,7212650325000,-2.4338624338624326,-6.3008130081300795,-8.258706467661693,-7.799999999999995,-29.885931558935365,-40.323624595469255,0.0,19.05,0.0
086280,현대글로비스,KS,181500,6843750000000,-1.3586956521739135,5.217391304347818,14.511041009463721,5.523255813953498,-13.98104265402843,-4.473684210526319,11.2265625,1.34,1.93
018880,한온시스템,KS,12750,6805950000000,-3.7735849056603765,-5.2044609665427455,-8.602150537634412,-15.56291390728477,-23.652694610778447,-22.72727272727273,61.59375,3.21,2.51
