종목코드,종목명,거래소,종가,시가총액,R1D,R1W,R1M,R3M,R6M,R1Y,PER,PBR,DIV
005930,삼성전자,KS,75800,452509517290000,1.8817204301075252,2.849389416553594,7.670454545454541,1.608579088471851,-5.955334987593053,13.813813813813812,19.734375,1.92,3.95
000660,SK하이닉스,KS,120000,87360283800000,3.0042918454935563,2.127659574468077,13.744075829383885,15.94202898550725,-6.6147859922178975,23.456790123456784,17.265625,1.68,0.98
035420,NAVER,KS,398500,65458962907500,2.1794871794871717,0.37783375314861534,-0.9937888198757738,-6.892523364485981,8.583106267029983,43.08797127468582,57.9375,8.89,0.1
207940,삼성바이오로직스,KS,892000,59019180000000,0.11223344556678949,5.3128689492325964,2.0594965675057253,-5.807814149947199,7.211538461538458,11.083437110834371,244.875,12.83,0.0
005935,삼성전자우,KS,69500,57190625650000,1.3119533527696792,2.507374631268444,4.98489425981874,-0.2869440459110528,-4.924760601915191,14.309210526315796,0.0,0.0,4.31
035720,카카오,KS,122500,54598035135000,0.0,-4.296875,-1.6064257028112428,-19.14191419141914,-3.543307086614178,66.29787002972998,332.0,8.57,0.02
051910,LG화학,KS,727000,51320633361000,1.253481894150421,-1.6238159675236785,-7.270408163265307,-5.584415584415581,-11.878787878787877,-7.74111675126904,109.0625,3.15,1.38
006400,삼성SDI,KS,685000,47103703050000,-1.1544011544011523,-4.1958041958041985,-6.420765027322406,-10.22280471821756,11.201298701298711,27.323420074349446,79.75,3.72,0.15
005380,현대차,KS,205500,43908812428500,2.238805970149249,-2.1428571428571463,-1.4388489208633115,-2.1428571428571463,-13.291139240506332,14.484679665738165,37.6875,0.82,1.46
000270,기아,KS,81600,33077649115200,0.49261083743843415,-0.9708737864077666,-4.0000000000000036,-1.210653753026636,-4.784130688448074,38.305084745762706,21.984375,1.11,1.23
323410,카카오뱅크,KS,65000,30885350405000,-0.30674846625766694,-4.270986745213545,9.427609427609429,-20.63492063492064,,,210.375,9.47,0.0
068270,셀트리온,KS,213000,29382738264000,0.7092198581560183,1.9138755980861344,1.4285714285714235,-26.80412371134021,-21.834862385321095,-34.271836870722275,56.71875,8.78,0.0
377300,카카오페이,KS,208000,27116362000000,0.24096385542169418,-3.9260969976905313,7.772020725388606,,,,0.0,126.8,0.0
259960,크래프톤,KS,502000,24576185590000,2.658486707566454,-0.3968253968253954,6.355932203389836,1.0060362173038184,,,36.4375,17.69,0.0
005490,POSCO,KS,281500,24543094052500,1.6245487364620947,1.6245487364620947,-6.322795341098175,-15.210843373493976,-19.571428571428573,14.897959183673471,13.9609375,0.55,2.84
105560,KB금융,KS,55000,22869435600000,2.0408163265306145,-3.677758318739055,-0.7220216606498187,4.761904761904767,-6.4625850340136015,13.871635610766052,6.23828125,0.54,3.22
012330,현대모비스,KS,239500,22650256013000,4.130434782608705,-0.4158004158004158,-5.148514851485153,-12.110091743119266,-14.616755793226377,-3.232323232323231,14.609375,0.68,1.67
028260,삼성물산,KS,114500,21398570774500,4.090909090909101,1.327433628318575,-1.716738197424894,-12.927756653992395,-19.930069930069926,-7.287449392712553,18.234375,0.71,2.01
066570,LG전자,KS,122000,19965033308000,1.6666666666666607,-2.7888446215139417,0.0,-12.54480286738351,-19.471947194719476,39.42857142857144,11.171875,1.43,0.98
302440,SK바이오사이언스,KS,260000,19890000000000,-1.5151515151515138,1.9607843137254832,4.417670682730934,-13.188647746243742,74.496644295302,,484.25,60.3,0.0
096770,SK이노베이션,KS,204000,18862975056000,2.7707808564231717,-7.272727272727275,-16.2217659137577,-15.176715176715172,-22.72727272727273,24.770642201834868,0.0,1.31,0.0
055550,신한지주,KS,36000,18597583944000,2.127659574468077,-3.6144578313253017,-4.887714663143994,-6.005221932114879,-16.279069767441857,3.8961038961038863,5.41015625,0.44,4.17
034730,SK,KS,264000,18575118408000,1.7341040462427681,0.189753320683117,6.23742454728371,2.127659574468077,-1.6759776536312887,18.385650224215254,74.5,1.07,2.65
051900,LG생활건강,KS,1162000,18148344914000,5.828779599271394,-0.5988023952095856,-5.605199025182783,-18.39887640449438,-24.49642625081222,-24.93540051679587,24.40625,4.33,0.95
036570,엔씨소프트,KS,690000,15148275180000,-1.5691868758915817,-1.4285714285714235,5.022831050228316,6.317411402157158,-20.871559633027527,-14.28571428571429,24.203125,4.82,1.24
015760,한국전력,KS,21450,13770129451650,2.3866348448687402,-3.5955056179775235,-5.088495575221241,-9.873949579831931,-17.816091954022983,-3.5955056179775235,6.91015625,0.2,5.67
032830,삼성생명,KS,65800,13160000000000,6.472491909385103,1.0752688172043001,-3.2352941176470584,-10.354223433242504,-21.666666666666668,-10.960757780784846,9.328125,0.31,3.8
091990,셀트리온헬스케어,KQ,83400,12929376733200,0.9685230024213176,-0.7142857142857117,-1.1848341232227444,-30.96026490066225,-30.38397328881469,-21.329660793117753,53.0,6.68,0.0
009150,삼성전기,KS,173000,12922009408000,-0.8595988538681931,-2.8089887640449396,8.463949843260199,-3.081232492997199,-1.7045454545454586,15.333333333333332,21.640625,2.33,0.81
