종목코드,종목명,상장일,거래소,종가,시가총액
004840,DRB동일,1976-05-21,KS,5520,109615000000
155660,DSR,2013-05-15,KS,6320,101920000000
078930,GS,2004-08-05,KS,42800,3967486640600
001250,GS글로벌,1976-06-26,KS,2615,214587786400
294870,HDC현대산업개발,2018-06-12,KS,25500,1680636915000
011200,HMM,1995-10-05,KS,27000,10925327524650
092220,KEC,2006-10-16,KS,3315,385716436700
016380,KG동부제철,1986-02-03,KS,11300,1130100536100
001390,KG케미칼,1989-08-25,KS,41150,569896545600
058860,KTis,2010-12-17,KS,2510,87353020000
011070,LG이노텍,2008-07-24,KS,216500,5135762219000
066570,LG전자,2002-04-22,KS,122500,20046857215000
037560,LG헬로비전,2012-11-09,KS,6910,532834431200
096770,SK이노베이션,2007-07-25,KS,239500,22099269796000
011810,STX,1990-09-12,KS,4335,124503324900
024070,WISCOM,1996-11-22,KS,3790,57857303450
011420,갤럭시아에스엠,1989-11-14,KS,3150,84715155300
002100,경농,1977-06-30,KS,13750,268435406250
012320,경동인베스트,1997-03-07,KS,36100,85495581450
007690,국도화학,1989-08-05,KS,61000,548746514400
005320,국동,1996-12-24,KS,2405,130775961855
014530,극동유화,1991-01-31,KS,4195,147148952400
013700,까뮤이앤씨,1989-11-30,KS,2485,111074608800
353200,대덕전자,2020-05-21,KS,17600,869737880000
047040,대우건설,2001-03-23,KS,6100,2539454318180
003090,대웅,1973-06-26,KS,32500,1898335647000
145720,덴티움,2017-03-15,KS,68300,753787323000
026890,디피씨,1997-11-25,KS,15100,623088716250
286940,롯데정보통신,2018-07-27,KS,39950,615083423450
027740,마니커,2002-10-29,KS,1985,79190563410
008560,메리츠증권,1992-01-15,KS,4655,3173455845245
017180,명문제약,2008-07-10,KS,5780,196250964120
204210,모두투어리츠,2016-09-22,KS,4445,34829326750
003850,보령제약,1988-10-24,KS,14450,992570500000
001270,부국증권,1988-07-19,KS,24550,255099195600
006400,삼성SDI,1979-02-27,KS,751000,51504632970000
028050,삼성엔지니어링,1996-12-24,KS,23600,4596200000000
068290,삼성출판사,2002-08-05,KS,33600,334500000000
010960,삼호개발,2005-05-12,KS,5080,127500000000
001290,상상인증권,1988-09-23,KS,1210,118909689150
136490,선진,2011-02-16,KS,12700,303189951000
002420,세기상사,1968-12-27,KS,6160,25107667200
004490,세방전지,1987-11-28,KS,79700,1108800000000
003030,세아제강지주,1969-05-13,KS,116000,478361383500
012600,센트럴인사이트,1990-07-10,KS,2490,33838831080
293940,신한알파리츠,2018-08-08,KS,8000,417071080310
055550,신한지주,2001-09-10,KS,37950,19656613029700
003620,쌍용자동차,1975-05-29,KS,2770,415056805540
015540,쎌마테라퓨틱스,1989-09-02,KS,6410,86229499400
137310,에스디바이오센서,2021-07-16,KS,48650,5018987755800
078520,에이블씨엔씨,2011-09-07,KS,7790,210320311020
012280,영화금속,1990-01-25,KS,1880,100915614450
007310,오뚜기,1994-08-12,KS,474000,1733175032000
002630,오리엔트바이오,1976-12-28,KS,1330,155936651575
271560,오리온,2017-07-07,KS,117500,4645495510000
105840,우진,2010-07-26,KS,9650,195919638960
008600,윌비스,1989-07-28,KS,1955,129241807080
023800,인지컨트롤스,1997-06-23,KS,15700,239530022400
129260,인터지스,2011-12-16,KS,3570,106348649550
013360,일성건설,1989-12-02,KS,6080,326310275200
081000,일진다이아,2004-12-22,KS,37750,537582603750
033240,자화전자,1999-01-06,KS,17900,319515000000
271980,제일약품,2017-07-17,KS,33850,498495160800
002620,제일파마홀딩스,1988-01-20,KS,17350,276339041500
001550,조비,1976-12-28,KS,27600,142526960550
002600,조흥,1976-12-23,KS,206000,123900000000
001630,종근당홀딩스,1976-06-30,KS,82100,410307615900
071320,지역난방공사,2010-01-29,KS,40950,475307441200
120110,코오롱인더,2010-02-01,KS,83900,2255431024000
020120,키다리스튜디오,1996-07-03,KS,15600,521095420800
015890,태경산업,1996-01-30,KS,6470,189110012500
058430,포스코강판,2002-08-16,KS,57800,347400000000
352820,하이브,2020-10-15,KS,356500,13960667077500
005430,한국공항,1976-12-28,KS,45650,144544105750
025890,한국주강,1997-07-18,KS,6700,73283998320
168490,한국패러랠,2013-04-19,KS,2125,170042500000
009180,한솔로지스틱스,1989-11-13,KS,4870,134227221125
002220,한일철강,1988-10-07,KS,3130,84096999000
009460,한창제지,1987-12-23,KS,2120,125600058030
088350,한화생명,2010-03-17,KS,3475,3018141750000
000720,현대건설,1984-12-22,KS,51600,5734821897500
267270,현대건설기계,2017-05-10,KS,40300,795912037200
042670,현대두산인프라코어,2001-02-02,KS,8320,662438027090
004560,현대비앤지스틸,1987-03-24,KS,16400,245030678750
001500,현대차증권,1990-06-09,KS,12800,404335165500
111110,호전실업,2017-02-02,KS,12500,98800000000
060310,3S,2002-04-23,KQ,4115,190869991125
245620,EDGC,2018-06-26,KQ,3960,337282290280
050120,ES큐브,2002-04-25,KQ,5010,68227352580
195940,HK이노엔,2021-08-09,KQ,55100,1595528344800
067290,JW신약,2003-02-11,KQ,3720,164104164630
024120,KB오토시스,1994-12-07,KQ,6620,75900000000
060720,KH바텍,2002-05-21,KQ,22950,545765038100
024940,PN풍년,1995-01-04,KQ,5890,57900000000
036120,SCI평가정보,1999-12-07,KQ,3525,125137500000
255220,SG,2018-01-26,KQ,1795,74412480600
032540,TJ미디어,1997-04-16,KQ,5220,72862315070
038340,UCI,2001-11-22,KQ,445,16641828315
217730,강스템바이오텍,2015-12-21,KQ,3305,125195152500
053950,경남제약,2001-11-06,KQ,6130,122502842150
024910,경창산업,1994-12-29,KQ,3590,128769322975
331520,교보9호스팩,2019-10-29,KQ,2130,8264400000
043650,국순당,2000-08-24,KQ,8530,152152750080
078130,국일제지,2004-10-22,KQ,4210,536631473965
204020,그리티,2018-07-23,KQ,2840,56916489750
019660,글로본,1992-06-04,KQ,3925,127944665695
308100,까스텔바작,2019-06-10,KQ,12200,81469245000
286750,나노브릭,2019-08-19,KQ,7080,65858641440
151910,나노스,2012-08-02,KQ,5640,842705717490
094860,네오리진,2007-04-16,KQ,998,53517006877
095660,네오위즈,2007-07-02,KQ,26750,588300297300
085910,네오티스,2007-10-01,KQ,4735,63774076690
007390,네이처셀,1992-11-30,KQ,20000,1249411762200
054050,농우바이오,2002-04-02,KQ,12150,193969788100
012340,뉴인텍,1997-02-12,KQ,3580,106808204610
340360,다보링크,2019-12-19,KQ,2300,94502469600
078140,대봉엘에스,2005-12-23,KQ,8380,93903324130
290380,대유,2018-08-10,KQ,8650,122541090000
290120,대유에이피,2018-12-07,KQ,6380,72717689640
003310,대주산업,1992-08-01,KQ,2135,75031782000
060900,대한그린파워,2002-09-17,KQ,1120,196113023675
023910,대한약품,1994-11-23,KQ,30250,181800000000
006620,동구바이오제약,2018-02-13,KQ,8450,240244532480
086450,동국제약,2007-05-29,KQ,22200,991458000000
203650,드림시큐리티,2014-10-13,KQ,4380,222159260060
196490,디에이테크놀로지,2014-11-19,KQ,8370,202782925020
066900,디에이피,2004-05-14,KQ,3745,85178163735
127120,디엔에이링크,2011-12-26,KQ,3360,54918868200
033130,디지틀조선,1997-08-06,KQ,3590,135099571880
060240,룽투코리아,2002-01-04,KQ,6760,172919131200
219420,링크제니시스,2018-02-05,KQ,7560,86824167990
250060,모비스,2016-09-08,KQ,2320,74637448480
118990,모트렉스,2017-08-04,KQ,5560,228009235480
328380,미래에셋대우스팩3호,2019-08-20,KQ,2115,13709430000
214610,미코바이오메드,2020-10-22,KQ,10600,193885660000
019010,베뉴지,1993-11-05,KQ,2200,106040000000
337930,브랜드엑스코퍼레이션,2020-08-13,KQ,9860,291288297600
023600,삼보판지,1996-05-29,KQ,14500,233656500000
377630,삼성스팩4호,2021-05-21,KQ,5580,22512000000
