날짜,시가,고가,저가,종가,거래량
2021-09-17,111000,135000,91000,111500,17373529.0
2021-09-23,112000,113000,99000,99100,2914293.0
2021-09-24,100000,102000,95500,99200,2262592.0
2021-09-27,98300,99400,96500,97000,672212.0
2021-09-28,98000,103000,97000,100000,1037427.0
2021-09-29,98300,108000,98000,107500,1435139.0
2021-09-30,107500,117000,106000,115500,1704373.0
2021-10-01,114500,119500,109000,113500,1203513.0
2021-10-05,111500,112500,104500,104500,706523.0
2021-10-06,107000,111500,105500,107000,797435.0
2021-10-07,109000,112000,107000,109500,474072.0
2021-10-08,109500,110000,103000,104500,423907.0
2021-10-12,104000,106000,100500,101000,289473.0
2021-10-13,101500,103000,99800,102000,252749.0
2021-10-14,103000,103000,100000,102000,245111.0
