날짜,시가,고가,저가,종가,거래량
2021-09-27,39500,43000,32200,32450,6172666.0
2021-09-28,32400,35350,31150,31750,2231433.0
2021-09-29,31250,31550,29800,30400,704407.0
2021-09-30,31100,32650,30650,31500,913538.0
2021-10-01,30350,30900,29050,29300,553274.0
2021-10-05,29700,30100,27600,27600,526780.0
2021-10-06,28250,28500,24300,24800,505804.0
2021-10-07,24950,26050,24300,25650,311102.0
2021-10-08,25700,25750,24050,24050,197113.0
2021-10-12,23850,23950,22800,22900,164501.0
2021-10-13,22700,25700,22400,24000,283186.0
2021-10-14,24300,27050,24300,26200,441537.0
2021-10-15,26700,26850,25200,26100,155338.0
2021-10-18,26100,26350,25000,26200,101946.0
2021-10-19,25950,26800,25300,26600,172173.0
2021-10-20,26600,26700,25800,26000,109780.0
2021-10-21,26000,26000,24800,24850,119172.0
2021-10-22,24850,25850,24550,25350,107440.0
2021-10-25,25000,25500,24850,25100,49805.0
2021-10-26,25000,25900,24850,25150,72740.0
2021-10-27,24900,25550,24600,25100,146203.0
2021-10-28,25000,26200,24850,25900,127894.0
2021-10-29,25900,26000,25400,25700,66682.0
2021-11-01,25900,27400,25750,26900,191206.0
2021-11-02,27550,28100,26800,27450,204429.0
2021-11-03,27050,27450,26650,26900,91960.0
2021-11-04,27000,27150,25950,26600,115706.0
2021-11-05,26350,26500,25250,25500,126205.0
2021-11-08,25000,25200,23850,24200,139220.0
2021-11-09,24250,24700,24050,24150,51276.0
2021-11-10,24100,24100,23200,23700,111456.0
2021-11-11,23500,24000,23200,23450,91612.0
2021-11-12,23450,24050,23450,23700,71515.0
2021-11-15,23800,24200,23450,23600,65893.0
2021-11-16,23450,23600,22800,22900,107637.0
2021-11-17,23050,25350,22600,24300,275667.0
2021-11-18,24250,24250,23450,23500,80852.0
2021-11-19,23400,23650,22900,23100,80970.0
2021-11-22,23100,23100,22300,22500,83047.0
2021-11-23,22500,22850,21900,21900,81650.0
2021-11-24,22200,22250,21700,22150,56933.0
2021-11-25,22250,22950,21900,21950,95866.0
2021-11-26,22250,22750,21850,22100,67932.0
2021-11-29,21600,22500,21500,22000,90128.0
2021-11-30,22500,22500,20450,20450,142132.0
2021-12-01,20450,21300,20350,21000,70517.0
2021-12-02,20500,21850,20400,21850,76893.0
2021-12-03,22400,25650,22400,23750,856910.0
2021-12-06,23850,25350,23250,24700,297517.0
2021-12-07,24600,25600,24300,24650,177031.0
2021-12-08,24550,25150,24200,25100,147972.0
2021-12-09,24850,25750,24750,25150,157959.0
2021-12-10,25000,26750,25000,25400,280330.0
2021-12-13,25650,25700,24400,24500,124262.0
2021-12-14,24300,25050,24100,24750,95654.0
2021-12-15,24750,27500,24350,26900,645412.0
2021-12-16,26750,26750,25150,25250,286401.0
2021-12-17,25000,26500,24650,25950,281689.0
2021-12-20,26150,27400,26100,26200,321431.0
2021-12-21,26300,26550,24400,26250,217637.0
2021-12-22,26450,26550,25800,26200,118240.0
2021-12-23,26400,26500,25650,26150,129122.0
2021-12-27,25500,26750,25500,26400,361098.0
2021-12-28,26650,27800,26200,27000,351729.0
2021-12-29,27550,28150,27000,27500,303785.0
2021-12-30,27600,28000,27100,27500,145981.0
2022-01-03,27250,27400,26900,27150,94310.0
