날짜,시가,고가,저가,종가,거래량
2018-01-05,39310,39310,28000,31517,676299
2018-01-08,31931,32137,29758,30517,145019
2018-01-09,30551,32655,30413,30552,204595
2018-01-10,30896,31241,29931,29931,95088
2018-01-11,29931,30482,29344,29414,45865
2018-01-12,29655,29655,28034,28966,95037
2018-01-15,29344,30068,28689,29103,63478
2018-01-16,29068,29137,28586,28828,25703
2018-01-17,28931,29172,28206,28414,28833
2018-01-18,28827,28931,28275,28483,13021
2018-01-19,28448,28793,28241,28241,18965
2018-01-22,28241,28241,27586,27931,27486
2018-01-23,27862,28103,27655,27862,16982
2018-01-24,27896,28551,27827,28345,12834
2018-01-25,28172,28310,27724,27931,25939
2018-01-26,27931,28103,27724,27862,19569
2018-01-29,28137,28137,27724,27897,17696
2018-01-30,27896,28413,27758,28276,42588
2018-01-31,28068,28310,27862,28103,21241
2018-02-01,28103,28103,27689,27828,18119
2018-02-02,27827,27827,27275,27345,20249
2018-02-05,26793,26896,25896,26138,30779
2018-02-06,24655,25482,24310,25379,43378
2018-02-07,25620,25655,24724,24724,16797
2018-02-08,24275,24862,24275,24828,20138
2018-02-09,24206,24689,24034,24138,31643
2018-02-12,24137,24137,23137,23414,71988
2018-02-13,26862,26965,24206,24276,169899
2018-02-14,24379,24413,23413,23828,42034
2018-02-19,24206,24793,24206,24586,31600
2018-02-20,24620,25034,24379,24586,25072
2018-02-21,24586,25206,24551,25138,18978
2018-02-22,25068,25172,24551,24862,21820
2018-02-23,25103,25103,24758,25034,13460
2018-02-26,25241,25241,24620,24862,15382
2018-02-27,24827,25137,24551,24690,6696
2018-02-28,24758,24965,24482,24724,9529
2018-03-02,24379,24551,24103,24276,8409
2018-03-05,24655,24655,23655,23793,7950
2018-03-06,23793,24137,23724,24138,4969
2018-03-07,24206,24379,23862,24000,7614
2018-03-08,24137,24448,23827,24207,5398
2018-03-09,24241,24517,24206,24483,4124
2018-03-12,24413,24655,24413,24621,7408
2018-03-13,24862,24896,24586,24690,6515
2018-03-14,24793,24793,24413,24690,11744
2018-03-15,24758,24793,24482,24655,6116
2018-03-16,24689,24724,24241,24552,10191
2018-03-19,24551,24551,24241,24345,12483
2018-03-20,24206,24275,23862,24138,7236
2018-03-21,24379,24379,23965,24207,6706
2018-03-22,24206,24413,24137,24207,9326
2018-03-23,24034,24034,23517,23517,9129
2018-03-26,23448,23620,23034,23586,10752
2018-03-27,23586,23758,23241,23448,10862
2018-03-28,23310,23413,22965,23103,9408
2018-03-29,23068,23206,22827,23103,5758
2018-03-30,23172,23241,23000,23241,3323
2018-04-02,23379,23379,22793,23241,3525
