날짜,시가,고가,저가,종가,거래량,거래대금
2010-01-04,0.0,0.0,0.0,1000.0,0,0
2010-01-05,0.0,0.0,0.0,996.32,0,0
2010-01-06,0.0,0.0,0.0,1005.74,0,0
2010-01-07,0.0,0.0,0.0,997.48,0,0
2010-01-08,0.0,0.0,0.0,1006.81,0,0
2010-01-11,0.0,0.0,0.0,1006.72,0,0
2010-01-12,0.0,0.0,0.0,1008.99,0,0
2010-01-13,0.0,0.0,0.0,995.39,0,0
2010-01-14,0.0,0.0,0.0,1001.39,0,0
2010-01-15,0.0,0.0,0.0,1013.96,0,0
2010-01-18,0.0,0.0,0.0,1022.36,0,0
2010-01-19,0.0,0.0,0.0,1021.39,0,0
2010-01-20,0.0,0.0,0.0,1015.32,0,0
2010-01-21,0.0,0.0,0.0,1016.54,0,0
2010-01-22,0.0,0.0,0.0,998.42,0,0
2010-01-25,0.0,0.0,0.0,986.68,0,0
2010-01-26,0.0,0.0,0.0,965.95,0,0
2010-01-27,0.0,0.0,0.0,961.43,0,0
2010-01-28,0.0,0.0,0.0,973.2,0,0
2010-01-29,0.0,0.0,0.0,946.71,0,0
2010-02-01,0.0,0.0,0.0,950.91,0,0
2010-02-02,0.0,0.0,0.0,945.41,0,0
2010-02-03,0.0,0.0,0.0,957.12,0,0
2010-02-04,0.0,0.0,0.0,958.44,0,0
2010-02-05,0.0,0.0,0.0,930.89,0,0
2010-02-08,0.0,0.0,0.0,919.93,0,0
2010-02-09,0.0,0.0,0.0,933.18,0,0
2010-02-10,0.0,0.0,0.0,934.35,0,0
2010-02-11,0.0,0.0,0.0,951.0,0,0
2010-02-12,0.0,0.0,0.0,952.9,0,0
2010-02-16,0.0,0.0,0.0,961.03,0,0
2010-02-17,0.0,0.0,0.0,974.53,0,0
2010-02-18,0.0,0.0,0.0,973.38,0,0
2010-02-19,0.0,0.0,0.0,957.67,0,0
2010-02-22,0.0,0.0,0.0,979.25,0,0
2010-02-23,0.0,0.0,0.0,983.79,0,0
2010-02-24,0.0,0.0,0.0,979.57,0,0
2010-02-25,0.0,0.0,0.0,962.58,0,0
2010-02-26,0.0,0.0,0.0,967.7,0,0
2010-03-02,0.0,0.0,0.0,976.98,0,0
2010-03-03,0.0,0.0,0.0,983.15,0,0
2010-03-04,0.0,0.0,0.0,982.2,0,0
2010-03-05,0.0,0.0,0.0,994.33,0,0
2010-03-08,0.0,0.0,0.0,1007.76,0,0
2010-03-09,0.0,0.0,0.0,1010.38,0,0
2010-03-10,0.0,0.0,0.0,1012.24,0,0
2010-03-11,0.0,0.0,0.0,1010.05,0,0
2010-03-12,0.0,0.0,0.0,1012.56,0,0
2010-03-15,0.0,0.0,0.0,1006.52,0,0
2010-03-16,0.0,0.0,0.0,1006.54,0,0
